model,fold,protein,tp0,tp1,tp2,tp3,fn0,fn1,fn2,fn3,fp0,fp1,fp2,fp3
adapter256_seqonly,2,B2KKV6,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B2KKV7,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B2KKV8,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B2KKW0,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B2RH54,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B2RH58,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B2Y1W5,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B3EWS9,0,0,0,0,2,2,2,2,1,1,1,1
adapter256_seqonly,2,B3H5A9,5,5,5,5,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B5G6G5,0,0,1,1,2,2,1,1,2,2,1,1
adapter256_seqonly,2,B5VE42,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B6D434,0,0,1,1,1,1,0,0,1,1,0,0
adapter256_seqonly,2,B6DT16,3,3,3,3,2,2,2,2,1,1,1,1
adapter256_seqonly,2,B6K9M7,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,B6KAM0,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,B6S2X0,0,0,1,1,1,1,0,0,1,1,0,0
adapter256_seqonly,2,B6S2X2,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,B7HCU7,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,B7HPM0,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,B7IYH4,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,B7JNV3,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,B7JVQ3,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B7K989,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B8H8L6,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B8HTR1,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B8JLQ9,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B8XH40,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,B8XH50,1,1,1,2,1,1,1,0,1,1,1,0
adapter256_seqonly,2,B9IY88,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,C0HJV6,0,1,1,1,1,0,0,0,2,1,1,1
adapter256_seqonly,2,C0HJV7,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C0HJV8,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C0HKF6,1,1,2,2,1,1,0,0,1,1,0,0
adapter256_seqonly,2,C0HKS1,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,C0HKT2,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C0HKT3,2,2,2,2,1,1,1,1,0,0,0,0
adapter256_seqonly,2,C0HKY1,4,4,4,4,3,3,3,3,6,6,6,6
adapter256_seqonly,2,C0KYC3,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,C0KYC4,1,1,2,2,1,1,0,0,1,1,0,0
adapter256_seqonly,2,C0KYC5,1,1,1,2,1,1,1,0,1,1,1,0
adapter256_seqonly,2,C0KYC6,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,C0L2T8,0,0,0,0,2,2,2,2,2,2,2,2
adapter256_seqonly,2,C1ESL5,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,C3L5S4,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,C3P8M7,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,C5BVA2,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C5D4U8,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,C5J886,1,1,2,2,1,1,0,0,1,1,0,0
adapter256_seqonly,2,C5J887,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C6FX52,0,1,1,1,1,0,0,0,2,1,1,1
adapter256_seqonly,2,C6KSX0,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C6ZJQ2,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C7DQB9,1,1,1,2,1,1,1,0,1,1,1,0
adapter256_seqonly,2,C7DQC0,0,1,1,1,2,1,1,1,2,1,1,1
adapter256_seqonly,2,C7DQC1,0,1,1,1,2,1,1,1,1,0,0,0
adapter256_seqonly,2,C7DQC2,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C7DQX6,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C7DQX8,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C7DQX9,1,2,2,2,1,0,0,0,1,0,0,0
adapter256_seqonly,2,C7DQY0,0,0,0,0,2,2,2,2,1,1,1,1
adapter256_seqonly,2,C7GQJ1,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C7LYP7,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,C7R403,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,C9E1R9,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,C9E1S1,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,D1BHT9,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,D2DGD3,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,D2DGD8,0,0,0,0,2,2,2,2,2,2,2,2
adapter256_seqonly,2,D2DGD9,0,0,0,0,2,2,2,2,2,2,2,2
adapter256_seqonly,2,D2Y2C5,1,1,1,1,1,1,1,1,0,0,0,0
adapter256_seqonly,2,D2Y2C6,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,D2Y2C7,1,1,1,1,1,1,1,1,0,0,0,0
adapter256_seqonly,2,D2Y2C8,1,1,1,1,1,1,1,1,0,0,0,0
adapter256_seqonly,2,D2Y498,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,D2Y4A0,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,D2Y4A1,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,D2Y4A2,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,D3JWK3,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,D3JWK4,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,D3JWK5,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,D3JWK6,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,D4ATC3,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,D4HRK4,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,D4HRK7,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,D5KXG5,0,0,0,0,2,2,2,2,2,2,2,2
adapter256_seqonly,2,D5LGE0,0,0,0,0,5,5,5,5,0,0,0,0
adapter256_seqonly,2,D6C4H5,0,0,0,0,2,2,2,2,2,2,2,2
adapter256_seqonly,2,D6C4J4,0,1,1,1,2,1,1,1,2,1,1,1
adapter256_seqonly,2,D6C4J8,3,3,3,3,0,0,0,0,0,0,0,0
adapter256_seqonly,2,D6C4K5,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,D9IWN6,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,D9IWN7,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,D9U2A7,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,E1ZVK3,1,1,2,2,4,4,3,3,3,3,2,2
adapter256_seqonly,2,E2A6P1,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,E2AJ76,1,1,1,2,1,1,1,0,2,2,2,1
adapter256_seqonly,2,E2ARW3,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,E2AX35,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,E2AZE8,3,3,3,3,0,0,0,0,0,0,0,0
adapter256_seqonly,2,E2DIH5,1,1,1,2,1,1,1,0,1,1,1,0
adapter256_seqonly,2,E2DIH6,1,2,2,2,1,0,0,0,1,0,0,0
adapter256_seqonly,2,E4VP07,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,E5D3Z8,0,0,0,1,1,1,1,0,1,1,1,0
adapter256_seqonly,2,E9NW26,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,E9NW27,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,F1CJ89,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,F1DFM9,0,0,0,1,1,1,1,0,1,1,1,0
adapter256_seqonly,2,F1NV61,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,F4I082,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,F4JIG1,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,F8S122,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,G0R947,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,G0RUP7,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,H2CYR5,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,H7C8I3,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,I0DEB3,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,I0DEB4,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,I0DEB5,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,I0DEB6,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,I2DBY1,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,I2DBY2,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,I2DBY3,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,I6R1R5,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,J9VS02,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,K1XVG1,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,K8DWB5,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,K9USW8,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,L0GAZ8,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,L0GCV8,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O01382,0,0,0,0,2,2,2,2,2,2,2,2
adapter256_seqonly,2,O02002,0,0,0,0,2,2,2,2,2,2,2,2
adapter256_seqonly,2,O08524,0,0,1,1,1,1,0,0,1,1,0,0
adapter256_seqonly,2,O08738,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,O13318,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O13547,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O13692,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O15130,1,1,2,2,3,3,2,2,2,2,1,1
adapter256_seqonly,2,O18494,0,1,1,1,2,1,1,1,1,0,0,0
adapter256_seqonly,2,O18495,0,1,1,1,2,1,1,1,1,0,0,0
adapter256_seqonly,2,O18496,0,1,1,1,2,1,1,1,1,0,0,0
adapter256_seqonly,2,O24565,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,O24567,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,O24572,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,O24602,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,O24618,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,O31840,1,2,2,2,1,0,0,0,1,0,0,0
adapter256_seqonly,2,O32025,0,0,0,0,3,3,3,3,2,2,2,2
adapter256_seqonly,2,O32295,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O32389,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O35314,1,1,1,1,0,0,0,0,2,2,2,2
adapter256_seqonly,2,O35397,1,1,1,2,1,1,1,0,1,1,1,0
adapter256_seqonly,2,O44185,9,9,9,9,1,1,1,1,1,1,1,1
adapter256_seqonly,2,O44516,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,O48915,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,O49644,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O49645,0,0,0,1,1,1,1,0,1,1,1,0
adapter256_seqonly,2,O57413,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,O60087,0,0,0,1,1,1,1,0,1,1,1,0
adapter256_seqonly,2,O64864,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O64865,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O73795,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,O75003,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,O77256,1,2,2,2,1,0,0,0,1,0,0,0
adapter256_seqonly,2,O78504,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O82081,0,0,0,1,1,1,1,0,1,1,1,0
adapter256_seqonly,2,O82549,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,O88947,0,1,1,2,2,1,1,0,2,1,1,0
adapter256_seqonly,2,O89094,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,O94779,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,O95831,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,O95980,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,O96447,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,O96812,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P00740,1,1,1,1,1,1,1,1,0,0,0,0
adapter256_seqonly,2,P00741,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P00742,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,P00745,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P00750,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P01068,0,0,0,0,12,12,12,12,0,0,0,0
adapter256_seqonly,2,P01156,2,2,2,2,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P01252,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P01344,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,P01346,1,1,1,1,0,0,0,0,2,2,2,2
adapter256_seqonly,2,P01357,1,4,5,5,5,2,1,1,14,11,10,10
adapter256_seqonly,2,P01358,0,0,0,1,1,1,1,0,1,1,1,0
adapter256_seqonly,2,P01501,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P01579,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P02545,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,P02674,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P02681,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,P02876,0,0,1,1,1,1,0,0,1,1,0,0
adapter256_seqonly,2,P03997,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,P03998,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,P04002,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P04070,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P04124,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P05017,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,P05019,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,P05060,1,1,1,1,0,0,0,0,2,2,2,2
adapter256_seqonly,2,P05118,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,P05222,1,2,2,2,1,0,0,0,8,7,7,7
adapter256_seqonly,2,P05224,1,3,3,4,4,2,2,1,10,8,8,7
adapter256_seqonly,2,P05225,0,4,4,4,5,1,1,1,14,10,10,10
adapter256_seqonly,2,P05226,1,4,5,5,5,2,1,1,14,11,10,10
adapter256_seqonly,2,P06302,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P06454,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P06731,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,P07095,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,P07455,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P07456,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,P07835,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,P07907,0,0,0,0,4,4,4,4,0,0,0,0
adapter256_seqonly,2,P08025,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,P08454,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,P08459,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P08709,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P09031,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P09166,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P09167,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,P09535,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,P09598,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,P09989,0,0,0,0,1,1,1,1,1,1,1,1
