model,fold,protein,tp0,tp1,tp2,tp3,tp4,tp5,fn0,fn1,fn2,fn3,fn4,fn5,fp0,fp1,fp2,fp3,fp4,fp5
baseline_esm2,2,B7K989,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,B8H8L6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,B8HTR1,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2
baseline_esm2,2,B8JLQ9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,B8XH40,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2
baseline_esm2,2,B8XH50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,B9IY88,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,C0HJV6,0,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1
baseline_esm2,2,C0HJV7,0,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1
baseline_esm2,2,C0HJV8,0,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1
baseline_esm2,2,C0HKF6,1,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0
baseline_esm2,2,C0HKS1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
baseline_esm2,2,C0HKT2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
baseline_esm2,2,C0HKT3,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1
baseline_esm2,2,C0HKY1,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4
baseline_esm2,2,C0KYC3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,C0KYC4,1,1,2,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0
baseline_esm2,2,C0KYC5,0,0,0,1,1,2,2,2,2,1,1,0,2,2,2,1,1,0
baseline_esm2,2,C0KYC6,1,1,2,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0
baseline_esm2,2,C0L2T8,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
baseline_esm2,2,C1ESL5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,C3L5S4,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,C3P8M7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,C5BVA2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,C5D4U8,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,C5J886,1,1,2,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0
baseline_esm2,2,C5J887,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,C6FX52,0,0,0,1,1,1,1,1,1,0,0,0,2,2,2,1,1,1
baseline_esm2,2,C6KSX0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
baseline_esm2,2,C6ZJQ2,0,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
baseline_esm2,2,C7DQB9,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
baseline_esm2,2,C7DQC0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
baseline_esm2,2,C7DQC1,0,0,0,0,1,1,2,2,2,2,1,1,2,2,2,2,1,1
baseline_esm2,2,C7DQC2,0,1,1,1,2,2,2,1,1,1,0,0,2,1,1,1,0,0
baseline_esm2,2,C7DQX6,0,1,2,2,2,2,2,1,0,0,0,0,2,1,0,0,0,0
baseline_esm2,2,C7DQX8,0,0,0,0,1,1,2,2,2,2,1,1,2,2,2,2,1,1
baseline_esm2,2,C7DQX9,0,0,0,0,1,1,2,2,2,2,1,1,2,2,2,2,1,1
baseline_esm2,2,C7DQY0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
baseline_esm2,2,C7GQJ1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,C7LYP7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,C7R403,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,C9E1R9,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
baseline_esm2,2,C9E1S1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
baseline_esm2,2,D1BHT9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D2DGD3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,D2DGD8,0,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0
baseline_esm2,2,D2DGD9,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D2Y2C5,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D2Y2C6,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D2Y2C7,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D2Y2C8,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D2Y498,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
baseline_esm2,2,D2Y4A0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
baseline_esm2,2,D2Y4A1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
baseline_esm2,2,D2Y4A2,0,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1
baseline_esm2,2,D3JWK3,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
baseline_esm2,2,D3JWK4,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
baseline_esm2,2,D3JWK5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D3JWK6,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0
baseline_esm2,2,D4ATC3,0,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1
baseline_esm2,2,D4HRK4,1,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0
baseline_esm2,2,D4HRK7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,D5KXG5,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3
baseline_esm2,2,D5LGE0,0,0,0,0,0,0,5,5,5,5,5,5,1,1,1,1,1,1
baseline_esm2,2,D6C4H5,0,0,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,1
baseline_esm2,2,D6C4J4,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
baseline_esm2,2,D6C4J8,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D6C4K5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
baseline_esm2,2,D9IWN6,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D9IWN7,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,D9U2A7,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2
baseline_esm2,2,E1ZVK3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1
baseline_esm2,2,E2A6P1,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3
baseline_esm2,2,E2AJ76,1,1,1,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1
baseline_esm2,2,E2ARW3,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
baseline_esm2,2,E2AX35,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,E2AZE8,2,2,2,3,3,3,1,1,1,0,0,0,1,1,1,0,0,0
baseline_esm2,2,E2DIH5,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
baseline_esm2,2,E2DIH6,0,1,2,2,2,2,2,1,0,0,0,0,2,1,0,0,0,0
baseline_esm2,2,E4VP07,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,E5D3Z8,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
baseline_esm2,2,E9NW26,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
baseline_esm2,2,E9NW27,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
baseline_esm2,2,F1CJ89,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
baseline_esm2,2,F1DFM9,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
baseline_esm2,2,F1NV61,0,0,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0
baseline_esm2,2,F4I082,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,F4JIG1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,F8S122,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
baseline_esm2,2,G0R947,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,G0RUP7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,H2CYR5,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,H7C8I3,0,0,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0
baseline_esm2,2,I0DEB3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,I0DEB4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,I0DEB5,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,I0DEB6,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,I2DBY1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
baseline_esm2,2,I2DBY2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,I2DBY3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,I6R1R5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,J9VS02,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2
baseline_esm2,2,K1XVG1,0,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1
baseline_esm2,2,K8DWB5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
baseline_esm2,2,K9USW8,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
baseline_esm2,2,L0GAZ8,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,L0GCV8,1,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0
baseline_esm2,2,O01382,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
baseline_esm2,2,O02002,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3
baseline_esm2,2,O08524,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
baseline_esm2,2,O08738,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,0,0,0
baseline_esm2,2,O13318,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,O13547,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,O13692,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,O15130,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2
baseline_esm2,2,O18494,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
baseline_esm2,2,O18495,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
baseline_esm2,2,O18496,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
baseline_esm2,2,O24565,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,O24567,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
baseline_esm2,2,O24572,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,O24602,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
baseline_esm2,2,O24618,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,O31840,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
baseline_esm2,2,O32025,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
baseline_esm2,2,O32295,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
baseline_esm2,2,O32389,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
baseline_esm2,2,O35314,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5,5,5
baseline_esm2,2,O35397,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,0,0,0
baseline_esm2,2,O44185,7,7,7,7,7,9,3,3,3,3,3,1,5,5,5,5,5,3
baseline_esm2,2,O44516,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
baseline_esm2,2,O48915,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,O49644,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline_esm2,2,O49645,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
