model,fold,protein,task,tp,fn,fp
baseline_esm2,2,A0A348G5V9,propep,1,0,0
baseline_esm2,2,A0A348G5W0,pep,0,1,1
baseline_esm2,2,A0A348G5W0,propep,0,1,1
baseline_esm2,2,A0A348G5W2,pep,1,0,0
baseline_esm2,2,A0A348G5W2,propep,0,1,1
baseline_esm2,2,A0A348G6I7,pep,1,0,0
baseline_esm2,2,A0A348G6I7,propep,1,0,0
baseline_esm2,2,A0A348G6I9,pep,0,1,1
baseline_esm2,2,A0A348G6I9,propep,0,1,1
baseline_esm2,2,A0A348G6J1,pep,0,1,0
baseline_esm2,2,A0A348G6J1,propep,0,1,1
baseline_esm2,2,A0A3G3C7R5,pep,1,0,0
baseline_esm2,2,A0A3G3C7R5,propep,1,0,0
baseline_esm2,2,A0A3G3C7S0,pep,1,0,0
baseline_esm2,2,A0A3G3C7S0,propep,1,0,0
baseline_esm2,2,A0A3G3C7S2,pep,1,0,0
baseline_esm2,2,A0A3G3C7S2,propep,1,0,0
baseline_esm2,2,A0A3G3C7S9,pep,1,0,0
baseline_esm2,2,A0A3G3C7S9,propep,0,1,1
baseline_esm2,2,A0A3G3C7U4,pep,1,0,0
baseline_esm2,2,A0A3G3C7U4,propep,0,1,1
baseline_esm2,2,A0A3G3C7V0,pep,1,0,0
baseline_esm2,2,A0A3G3C7V0,propep,0,1,1
baseline_esm2,2,A0A3G6IHA6,pep,1,0,0
baseline_esm2,2,A0A3G6IHA6,propep,0,0,0
baseline_esm2,2,A0A6G9KHD1,pep,1,0,0
baseline_esm2,2,A0A6G9KHD1,propep,0,1,1
baseline_esm2,2,A0A6G9KHD6,pep,1,0,0
baseline_esm2,2,A0A6G9KHD6,propep,1,0,0
baseline_esm2,2,A0A6G9KHE4,pep,1,0,0
baseline_esm2,2,A0A6G9KHE4,propep,0,0,1
baseline_esm2,2,A0A6G9KIR5,pep,0,1,1
baseline_esm2,2,A0A6G9KIR5,propep,0,1,0
baseline_esm2,2,A0A6G9KJK9,pep,1,0,0
baseline_esm2,2,A0A6G9KJK9,propep,1,0,0
baseline_esm2,2,A0A6G9KJV6,pep,1,0,0
baseline_esm2,2,A0A6G9KJV6,propep,1,0,0
baseline_esm2,2,A0A6M3Z4D9,pep,0,1,1
baseline_esm2,2,A0A6M3Z4D9,propep,1,0,0
baseline_esm2,2,A0A6M3Z4R1,pep,0,1,1
baseline_esm2,2,A0A6M3Z4R1,propep,0,1,1
baseline_esm2,2,A0A6M3Z4R4,pep,0,1,0
baseline_esm2,2,A0A6M3Z4R4,propep,0,1,1
baseline_esm2,2,A0A8U0LTF0,pep,1,0,0
baseline_esm2,2,A0A8U0LTF0,propep,0,1,1
baseline_esm2,2,A0A8U0LTY4,pep,0,1,0
baseline_esm2,2,A0A8U0LTY4,propep,0,1,2
baseline_esm2,2,A0A976XKR0,pep,0,0,0
baseline_esm2,2,A0A976XKR0,propep,1,0,0
baseline_esm2,2,A0SE59,pep,1,0,0
baseline_esm2,2,A0SE59,propep,1,0,0
baseline_esm2,2,A0SE60,pep,1,0,0
baseline_esm2,2,A0SE60,propep,1,0,0
baseline_esm2,2,A0T099,pep,0,0,1
baseline_esm2,2,A0T099,propep,0,1,1
baseline_esm2,2,A0T0S8,pep,0,0,1
baseline_esm2,2,A0T0S8,propep,0,1,0
baseline_esm2,2,A0ZZ18,pep,0,0,1
baseline_esm2,2,A0ZZ18,propep,0,1,0
baseline_esm2,2,A1E9Q7,pep,0,0,2
baseline_esm2,2,A1E9Q7,propep,0,1,0
baseline_esm2,2,A1E9Z1,pep,0,0,2
baseline_esm2,2,A1E9Z1,propep,0,1,0
baseline_esm2,2,A1R6Q7,pep,0,0,0
baseline_esm2,2,A1R6Q7,propep,1,0,0
baseline_esm2,2,A1SK13,pep,0,0,0
baseline_esm2,2,A1SK13,propep,1,0,0
baseline_esm2,2,A1X8B8,pep,1,0,0
baseline_esm2,2,A1X8B8,propep,1,0,0
baseline_esm2,2,A1X8B9,pep,1,0,0
baseline_esm2,2,A1X8B9,propep,1,0,0
baseline_esm2,2,A1X8C2,pep,1,0,0
baseline_esm2,2,A1X8C2,propep,1,0,0
baseline_esm2,2,A1X8C3,pep,1,0,0
baseline_esm2,2,A1X8C3,propep,1,0,0
baseline_esm2,2,A1X8C6,pep,0,1,1
baseline_esm2,2,A1X8C6,propep,0,0,0
baseline_esm2,2,A1X8D0,pep,0,1,1
baseline_esm2,2,A1X8D0,propep,0,0,0
baseline_esm2,2,A1X8D8,pep,0,1,1
baseline_esm2,2,A1X8D8,propep,0,0,1
baseline_esm2,2,A1X8D9,pep,0,1,1
baseline_esm2,2,A1X8D9,propep,0,0,0
baseline_esm2,2,A2BP71,pep,0,0,1
baseline_esm2,2,A2BP71,propep,0,1,0
baseline_esm2,2,A2BUQ3,pep,0,0,1
baseline_esm2,2,A2BUQ3,propep,0,1,1
baseline_esm2,2,A2C0A5,pep,0,0,0
baseline_esm2,2,A2C0A5,propep,0,1,1
baseline_esm2,2,A2CCL2,pep,0,0,0
baseline_esm2,2,A2CCL2,propep,0,1,1
baseline_esm2,2,A3DT44,pep,0,1,1
baseline_esm2,2,A3DT44,propep,0,0,1
baseline_esm2,2,A3PAZ3,pep,0,0,1
baseline_esm2,2,A3PAZ3,propep,0,1,0
baseline_esm2,2,A4USB4,pep,0,0,0
baseline_esm2,2,A4USB4,propep,1,0,0
baseline_esm2,2,A4X3P0,pep,0,0,0
baseline_esm2,2,A4X3P0,propep,1,0,0
baseline_esm2,2,A5GIE8,pep,0,0,0
baseline_esm2,2,A5GIE8,propep,1,0,0
baseline_esm2,2,A5GWF4,pep,0,0,0
baseline_esm2,2,A5GWF4,propep,0,1,1
baseline_esm2,2,A5LHX3,pep,0,0,0
baseline_esm2,2,A5LHX3,propep,1,0,0
baseline_esm2,2,A6LHQ9,pep,0,0,0
baseline_esm2,2,A6LHQ9,propep,0,1,1
baseline_esm2,2,A6M934,pep,1,0,0
baseline_esm2,2,A6M934,propep,1,0,0
baseline_esm2,2,A6M938,pep,0,1,1
baseline_esm2,2,A6M938,propep,0,0,0
baseline_esm2,2,A6MFK7,pep,0,0,0
baseline_esm2,2,A6MFK7,propep,1,1,0
baseline_esm2,2,A6MFK8,pep,0,0,0
baseline_esm2,2,A6MFK8,propep,1,1,1
baseline_esm2,2,A6P331,pep,0,1,1
baseline_esm2,2,A6P331,propep,0,0,2
baseline_esm2,2,A6YRN9,pep,0,0,0
baseline_esm2,2,A6YRN9,propep,0,1,0
baseline_esm2,2,A6ZL22,pep,0,0,0
baseline_esm2,2,A6ZL22,propep,1,0,0
baseline_esm2,2,A6ZY20,pep,0,0,0
baseline_esm2,2,A6ZY20,propep,1,0,0
baseline_esm2,2,A7GT16,pep,0,0,0
baseline_esm2,2,A7GT16,propep,0,1,1
baseline_esm2,2,A7SRR3,pep,0,0,0
baseline_esm2,2,A7SRR3,propep,1,0,0
baseline_esm2,2,A7Z6W8,pep,0,0,0
baseline_esm2,2,A7Z6W8,propep,0,1,1
baseline_esm2,2,A8FFD9,pep,0,0,0
baseline_esm2,2,A8FFD9,propep,0,1,1
baseline_esm2,2,A8G2T2,pep,0,0,1
baseline_esm2,2,A8G2T2,propep,0,1,0
baseline_esm2,2,A9VHU8,pep,0,0,0
baseline_esm2,2,A9VHU8,propep,0,1,1
baseline_esm2,2,A9XDG0,pep,0,0,0
baseline_esm2,2,A9XDG0,propep,1,0,0
baseline_esm2,2,A9XDG1,pep,0,0,0
baseline_esm2,2,A9XDG1,propep,1,0,0
baseline_esm2,2,A9XDG2,pep,0,0,0
baseline_esm2,2,A9XDG2,propep,1,0,0
baseline_esm2,2,A9XDG3,pep,0,0,0
baseline_esm2,2,A9XDG3,propep,1,0,0
baseline_esm2,2,B0BK71,pep,0,0,0
baseline_esm2,2,B0BK71,propep,1,0,0
baseline_esm2,2,B0BK72,pep,0,0,0
baseline_esm2,2,B0BK72,propep,0,1,1
baseline_esm2,2,B0JSW8,pep,0,0,1
baseline_esm2,2,B0JSW8,propep,0,1,1
baseline_esm2,2,B0XT09,pep,0,0,0
baseline_esm2,2,B0XT09,propep,1,0,0
baseline_esm2,2,B0XT72,pep,0,0,0
baseline_esm2,2,B0XT72,propep,1,0,1
baseline_esm2,2,B0XVI5,pep,0,0,0
baseline_esm2,2,B0XVI5,propep,0,1,2
baseline_esm2,2,B0Y8H9,pep,0,0,0
baseline_esm2,2,B0Y8H9,propep,1,0,0
baseline_esm2,2,B1P1H5,pep,0,1,1
baseline_esm2,2,B1P1H5,propep,1,0,0
baseline_esm2,2,B1WUL2,pep,0,0,1
baseline_esm2,2,B1WUL2,propep,0,1,0
baseline_esm2,2,B1XMN4,pep,0,0,1
baseline_esm2,2,B1XMN4,propep,0,1,1
baseline_esm2,2,B2CJ57,pep,4,0,0
baseline_esm2,2,B2CJ57,propep,4,0,0
baseline_esm2,2,B2J4T9,pep,0,0,0
baseline_esm2,2,B2J4T9,propep,0,1,1
baseline_esm2,2,B2KKV6,pep,0,0,0
baseline_esm2,2,B2KKV6,propep,1,0,0
baseline_esm2,2,B2KKV7,pep,0,0,0
baseline_esm2,2,B2KKV7,propep,1,0,0
baseline_esm2,2,B2KKV8,pep,0,0,0
baseline_esm2,2,B2KKV8,propep,1,0,0
baseline_esm2,2,B2KKW0,pep,0,0,0
baseline_esm2,2,B2KKW0,propep,1,0,0
baseline_esm2,2,B2RH54,pep,0,0,0
baseline_esm2,2,B2RH54,propep,1,0,0
baseline_esm2,2,B2RH58,pep,0,0,0
baseline_esm2,2,B2RH58,propep,1,0,0
baseline_esm2,2,B2Y1W5,pep,0,0,0
baseline_esm2,2,B2Y1W5,propep,0,1,1
baseline_esm2,2,B3EWS9,pep,0,2,0
baseline_esm2,2,B3EWS9,propep,0,0,0
baseline_esm2,2,B3H5A9,pep,0,2,1
baseline_esm2,2,B3H5A9,propep,2,1,0
baseline_esm2,2,B5G6G5,pep,0,0,0
baseline_esm2,2,B5G6G5,propep,1,1,1
baseline_esm2,2,B5VE42,pep,0,0,0
baseline_esm2,2,B5VE42,propep,1,0,0
baseline_esm2,2,B6D434,pep,0,1,1
baseline_esm2,2,B6D434,propep,0,0,0
baseline_esm2,2,B6DT16,pep,3,0,0
baseline_esm2,2,B6DT16,propep,0,2,1
baseline_esm2,2,B6K9M7,pep,0,0,0
baseline_esm2,2,B6K9M7,propep,0,1,0
baseline_esm2,2,B6KAM0,pep,0,0,0
baseline_esm2,2,B6KAM0,propep,0,1,0
baseline_esm2,2,B6S2X0,pep,0,1,1
baseline_esm2,2,B6S2X0,propep,0,0,0
baseline_esm2,2,B6S2X2,pep,0,1,1
baseline_esm2,2,B6S2X2,propep,0,0,0
baseline_esm2,2,B7HCU7,pep,0,0,0
baseline_esm2,2,B7HCU7,propep,0,1,1
baseline_esm2,2,B7HPM0,pep,0,0,0
baseline_esm2,2,B7HPM0,propep,0,1,1
baseline_esm2,2,B7IYH4,pep,0,0,0
baseline_esm2,2,B7IYH4,propep,0,1,1
baseline_esm2,2,B7JNV3,pep,0,0,0
baseline_esm2,2,B7JNV3,propep,0,1,1
baseline_esm2,2,B7JVQ3,pep,0,0,1
baseline_esm2,2,B7JVQ3,propep,0,1,1
baseline_esm2,2,B7K989,pep,0,0,1
baseline_esm2,2,B7K989,propep,0,1,0
baseline_esm2,2,B8H8L6,pep,0,0,0
baseline_esm2,2,B8H8L6,propep,1,0,0
baseline_esm2,2,B8HTR1,pep,0,0,1
baseline_esm2,2,B8HTR1,propep,0,1,1
baseline_esm2,2,B8JLQ9,pep,0,0,0
baseline_esm2,2,B8JLQ9,propep,1,0,0
baseline_esm2,2,B8XH40,pep,0,0,1
baseline_esm2,2,B8XH40,propep,0,1,1
baseline_esm2,2,B8XH50,pep,1,0,0
baseline_esm2,2,B8XH50,propep,1,0,0
baseline_esm2,2,B9IY88,pep,0,0,0
baseline_esm2,2,B9IY88,propep,0,1,1
baseline_esm2,2,C0HJV6,pep,0,0,1
baseline_esm2,2,C0HJV6,propep,1,0,0
baseline_esm2,2,C0HJV7,pep,0,0,1
baseline_esm2,2,C0HJV7,propep,1,0,0
baseline_esm2,2,C0HJV8,pep,0,0,1
baseline_esm2,2,C0HJV8,propep,1,0,0
baseline_esm2,2,C0HKF6,pep,1,0,0
baseline_esm2,2,C0HKF6,propep,1,0,0
baseline_esm2,2,C0HKS1,pep,0,2,1
baseline_esm2,2,C0HKS1,propep,0,0,1
baseline_esm2,2,C0HKT2,pep,1,0,1
baseline_esm2,2,C0HKT2,propep,0,0,0
baseline_esm2,2,C0HKT3,pep,1,0,0
baseline_esm2,2,C0HKT3,propep,1,1,1
baseline_esm2,2,C0HKY1,pep,4,3,4
baseline_esm2,2,C0HKY1,propep,0,0,0
baseline_esm2,2,C0KYC3,pep,1,0,0
baseline_esm2,2,C0KYC3,propep,1,0,0
baseline_esm2,2,C0KYC4,pep,1,0,0
baseline_esm2,2,C0KYC4,propep,1,0,0
baseline_esm2,2,C0KYC5,pep,1,0,0
baseline_esm2,2,C0KYC5,propep,0,1,1
baseline_esm2,2,C0KYC6,pep,1,0,0
baseline_esm2,2,C0KYC6,propep,1,0,0
baseline_esm2,2,C0L2T8,pep,0,0,0
baseline_esm2,2,C0L2T8,propep,0,2,0
baseline_esm2,2,C1ESL5,pep,0,0,0
baseline_esm2,2,C1ESL5,propep,0,1,1
baseline_esm2,2,C3L5S4,pep,0,0,0
baseline_esm2,2,C3L5S4,propep,0,1,1
baseline_esm2,2,C3P8M7,pep,0,0,0
baseline_esm2,2,C3P8M7,propep,0,1,1
baseline_esm2,2,C5BVA2,pep,0,0,0
baseline_esm2,2,C5BVA2,propep,1,0,0
baseline_esm2,2,C5D4U8,pep,0,0,0
baseline_esm2,2,C5D4U8,propep,0,1,1
baseline_esm2,2,C5J886,pep,1,0,0
baseline_esm2,2,C5J886,propep,1,0,0
baseline_esm2,2,C5J887,pep,1,0,0
baseline_esm2,2,C5J887,propep,1,0,0
baseline_esm2,2,C6FX52,pep,1,0,0
baseline_esm2,2,C6FX52,propep,0,0,1
baseline_esm2,2,C6KSX0,pep,0,0,0
baseline_esm2,2,C6KSX0,propep,1,0,0
baseline_esm2,2,C6ZJQ2,pep,1,0,0
baseline_esm2,2,C6ZJQ2,propep,1,0,0
baseline_esm2,2,C7DQB9,pep,0,1,0
baseline_esm2,2,C7DQB9,propep,0,1,0
baseline_esm2,2,C7DQC0,pep,0,1,0
baseline_esm2,2,C7DQC0,propep,1,0,0
baseline_esm2,2,C7DQC1,pep,0,1,1
baseline_esm2,2,C7DQC1,propep,0,1,1
baseline_esm2,2,C7DQC2,pep,1,0,0
baseline_esm2,2,C7DQC2,propep,0,1,1
baseline_esm2,2,C7DQX6,pep,1,0,0
baseline_esm2,2,C7DQX6,propep,1,0,0
baseline_esm2,2,C7DQX8,pep,0,1,1
baseline_esm2,2,C7DQX8,propep,0,1,1
baseline_esm2,2,C7DQX9,pep,0,1,1
baseline_esm2,2,C7DQX9,propep,0,1,1
baseline_esm2,2,C7DQY0,pep,0,1,1
baseline_esm2,2,C7DQY0,propep,0,1,1
baseline_esm2,2,C7GQJ1,pep,0,0,0
baseline_esm2,2,C7GQJ1,propep,1,0,0
baseline_esm2,2,C7LYP7,pep,0,0,0
baseline_esm2,2,C7LYP7,propep,1,0,0
baseline_esm2,2,C7R403,pep,0,0,0
baseline_esm2,2,C7R403,propep,1,0,0
baseline_esm2,2,C9E1R9,pep,0,0,0
baseline_esm2,2,C9E1R9,propep,0,1,0
baseline_esm2,2,C9E1S1,pep,0,0,0
baseline_esm2,2,C9E1S1,propep,0,1,0
baseline_esm2,2,D1BHT9,pep,0,0,0
baseline_esm2,2,D1BHT9,propep,1,0,0
baseline_esm2,2,D2DGD3,pep,0,1,1
baseline_esm2,2,D2DGD3,propep,1,0,0
baseline_esm2,2,D2DGD8,pep,0,1,0
baseline_esm2,2,D2DGD8,propep,1,0,0
baseline_esm2,2,D2DGD9,pep,1,0,0
baseline_esm2,2,D2DGD9,propep,1,0,0
baseline_esm2,2,D2Y2C5,pep,1,0,0
baseline_esm2,2,D2Y2C5,propep,1,0,0
baseline_esm2,2,D2Y2C6,pep,1,0,0
baseline_esm2,2,D2Y2C6,propep,1,0,0
baseline_esm2,2,D2Y2C7,pep,1,0,0
baseline_esm2,2,D2Y2C7,propep,1,0,0
baseline_esm2,2,D2Y2C8,pep,1,0,0
baseline_esm2,2,D2Y2C8,propep,1,0,0
baseline_esm2,2,D2Y498,pep,1,0,0
baseline_esm2,2,D2Y498,propep,0,0,1
baseline_esm2,2,D2Y4A0,pep,1,0,0
baseline_esm2,2,D2Y4A0,propep,0,0,1
baseline_esm2,2,D2Y4A1,pep,1,0,0
baseline_esm2,2,D2Y4A1,propep,0,0,1
baseline_esm2,2,D2Y4A2,pep,1,0,0
baseline_esm2,2,D2Y4A2,propep,0,0,1
baseline_esm2,2,D3JWK3,pep,1,0,0
baseline_esm2,2,D3JWK3,propep,0,0,0
baseline_esm2,2,D3JWK4,pep,1,0,0
baseline_esm2,2,D3JWK4,propep,0,0,0
baseline_esm2,2,D3JWK5,pep,1,0,0
baseline_esm2,2,D3JWK5,propep,0,0,0
baseline_esm2,2,D3JWK6,pep,0,1,1
baseline_esm2,2,D3JWK6,propep,0,0,0
baseline_esm2,2,D4ATC3,pep,0,0,0
baseline_esm2,2,D4ATC3,propep,1,0,1
baseline_esm2,2,D4HRK4,pep,1,0,0
baseline_esm2,2,D4HRK4,propep,1,0,0
baseline_esm2,2,D4HRK7,pep,0,1,1
baseline_esm2,2,D4HRK7,propep,0,0,0
baseline_esm2,2,D5KXG5,pep,0,1,1
baseline_esm2,2,D5KXG5,propep,0,1,2
baseline_esm2,2,D5LGE0,pep,0,3,0
baseline_esm2,2,D5LGE0,propep,0,2,1
baseline_esm2,2,D6C4H5,pep,0,1,1
baseline_esm2,2,D6C4H5,propep,0,1,1
baseline_esm2,2,D6C4J4,pep,0,1,1
baseline_esm2,2,D6C4J4,propep,0,1,0
baseline_esm2,2,D6C4J8,pep,1,0,0
baseline_esm2,2,D6C4J8,propep,2,0,0
baseline_esm2,2,D6C4K5,pep,0,1,0
baseline_esm2,2,D6C4K5,propep,1,0,0
baseline_esm2,2,D9IWN6,pep,1,0,0
baseline_esm2,2,D9IWN6,propep,1,0,0
baseline_esm2,2,D9IWN7,pep,1,0,0
baseline_esm2,2,D9IWN7,propep,1,0,0
baseline_esm2,2,D9U2A7,pep,0,0,1
baseline_esm2,2,D9U2A7,propep,0,1,1
baseline_esm2,2,E1ZVK3,pep,3,1,0
baseline_esm2,2,E1ZVK3,propep,0,1,1
baseline_esm2,2,E2A6P1,pep,0,1,3
baseline_esm2,2,E2A6P1,propep,0,0,0
baseline_esm2,2,E2AJ76,pep,1,0,1
baseline_esm2,2,E2AJ76,propep,1,0,0
baseline_esm2,2,E2ARW3,pep,1,0,1
baseline_esm2,2,E2ARW3,propep,0,0,0
baseline_esm2,2,E2AX35,pep,0,1,0
baseline_esm2,2,E2AX35,propep,0,0,1
baseline_esm2,2,E2AZE8,pep,1,0,0
baseline_esm2,2,E2AZE8,propep,2,0,0
baseline_esm2,2,E2DIH5,pep,1,0,0
baseline_esm2,2,E2DIH5,propep,0,1,1
baseline_esm2,2,E2DIH6,pep,1,0,0
baseline_esm2,2,E2DIH6,propep,1,0,0
baseline_esm2,2,E4VP07,pep,1,0,0
baseline_esm2,2,E4VP07,propep,1,0,0
baseline_esm2,2,E5D3Z8,pep,0,0,0
baseline_esm2,2,E5D3Z8,propep,1,0,0
baseline_esm2,2,E9NW26,pep,0,0,0
baseline_esm2,2,E9NW26,propep,0,1,0
baseline_esm2,2,E9NW27,pep,0,0,0
baseline_esm2,2,E9NW27,propep,0,1,0
baseline_esm2,2,F1CJ89,pep,1,0,0
baseline_esm2,2,F1CJ89,propep,0,0,1
baseline_esm2,2,F1DFM9,pep,0,0,0
baseline_esm2,2,F1DFM9,propep,1,0,0
baseline_esm2,2,F1NV61,pep,0,0,0
baseline_esm2,2,F1NV61,propep,1,1,0
baseline_esm2,2,F4I082,pep,0,0,0
baseline_esm2,2,F4I082,propep,1,0,0
baseline_esm2,2,F4JIG1,pep,0,0,0
baseline_esm2,2,F4JIG1,propep,1,0,0
baseline_esm2,2,F8S122,pep,0,0,0
baseline_esm2,2,F8S122,propep,0,1,0
baseline_esm2,2,G0R947,pep,0,0,0
baseline_esm2,2,G0R947,propep,1,0,0
baseline_esm2,2,G0RUP7,pep,0,0,0
baseline_esm2,2,G0RUP7,propep,1,0,0
baseline_esm2,2,H2CYR5,pep,1,0,0
baseline_esm2,2,H2CYR5,propep,1,0,0
baseline_esm2,2,H7C8I3,pep,1,0,0
baseline_esm2,2,H7C8I3,propep,1,0,0
baseline_esm2,2,I0DEB3,pep,1,0,0
baseline_esm2,2,I0DEB3,propep,1,0,0
baseline_esm2,2,I0DEB4,pep,1,0,0
baseline_esm2,2,I0DEB4,propep,1,0,0
baseline_esm2,2,I0DEB5,pep,1,0,0
baseline_esm2,2,I0DEB5,propep,1,0,0
baseline_esm2,2,I0DEB6,pep,1,0,0
baseline_esm2,2,I0DEB6,propep,1,0,0
baseline_esm2,2,I2DBY1,pep,0,0,0
baseline_esm2,2,I2DBY1,propep,0,1,1
baseline_esm2,2,I2DBY2,pep,0,0,0
baseline_esm2,2,I2DBY2,propep,0,1,1
baseline_esm2,2,I2DBY3,pep,0,0,0
baseline_esm2,2,I2DBY3,propep,0,1,1
baseline_esm2,2,I6R1R5,pep,0,0,0
baseline_esm2,2,I6R1R5,propep,0,1,1
baseline_esm2,2,J9VS02,pep,0,0,0
baseline_esm2,2,J9VS02,propep,0,1,2
baseline_esm2,2,K1XVG1,pep,0,0,0
baseline_esm2,2,K1XVG1,propep,1,0,1
baseline_esm2,2,K8DWB5,pep,0,1,1
baseline_esm2,2,K8DWB5,propep,0,0,0
baseline_esm2,2,K9USW8,pep,0,1,0
baseline_esm2,2,K9USW8,propep,0,0,0
baseline_esm2,2,L0GAZ8,pep,1,0,0
baseline_esm2,2,L0GAZ8,propep,1,0,0
baseline_esm2,2,L0GCV8,pep,1,0,0
baseline_esm2,2,L0GCV8,propep,1,0,0
baseline_esm2,2,O01382,pep,0,0,0
baseline_esm2,2,O01382,propep,0,2,2
baseline_esm2,2,O02002,pep,0,0,0
baseline_esm2,2,O02002,propep,0,2,3
baseline_esm2,2,O08524,pep,0,0,0
baseline_esm2,2,O08524,propep,1,0,0
baseline_esm2,2,O08738,pep,0,0,0
baseline_esm2,2,O08738,propep,1,1,0
baseline_esm2,2,O13318,pep,0,0,0
baseline_esm2,2,O13318,propep,1,0,0
baseline_esm2,2,O13547,pep,0,0,0
baseline_esm2,2,O13547,propep,1,0,0
baseline_esm2,2,O13692,pep,0,0,0
baseline_esm2,2,O13692,propep,1,0,0
baseline_esm2,2,O15130,pep,1,1,1
baseline_esm2,2,O15130,propep,0,2,1
baseline_esm2,2,O18494,pep,0,1,0
baseline_esm2,2,O18494,propep,0,1,0
baseline_esm2,2,O18495,pep,0,1,0
baseline_esm2,2,O18495,propep,0,1,0
baseline_esm2,2,O18496,pep,0,1,0
baseline_esm2,2,O18496,propep,0,1,0
baseline_esm2,2,O24565,pep,1,0,0
baseline_esm2,2,O24565,propep,0,0,0
baseline_esm2,2,O24567,pep,1,0,1
baseline_esm2,2,O24567,propep,0,0,0
baseline_esm2,2,O24572,pep,1,0,0
baseline_esm2,2,O24572,propep,0,0,0
baseline_esm2,2,O24602,pep,1,0,1
baseline_esm2,2,O24602,propep,0,0,0
baseline_esm2,2,O24618,pep,1,0,0
baseline_esm2,2,O24618,propep,0,0,0
baseline_esm2,2,O31840,pep,1,0,0
baseline_esm2,2,O31840,propep,0,1,1
baseline_esm2,2,O32025,pep,0,1,0
baseline_esm2,2,O32025,propep,0,2,1
baseline_esm2,2,O32295,pep,0,1,0
baseline_esm2,2,O32295,propep,0,1,1
baseline_esm2,2,O32389,pep,0,0,0
baseline_esm2,2,O32389,propep,1,0,0
baseline_esm2,2,O35314,pep,0,1,5
baseline_esm2,2,O35314,propep,0,0,0
baseline_esm2,2,O35397,pep,0,0,0
baseline_esm2,2,O35397,propep,1,1,0
baseline_esm2,2,O44185,pep,7,2,2
baseline_esm2,2,O44185,propep,0,1,3
baseline_esm2,2,O44516,pep,0,0,0
baseline_esm2,2,O44516,propep,1,0,0
baseline_esm2,2,O48915,pep,0,0,0
baseline_esm2,2,O48915,propep,1,0,0
baseline_esm2,2,O49644,pep,0,0,0
baseline_esm2,2,O49644,propep,1,0,0
baseline_esm2,2,O49645,pep,0,0,0
baseline_esm2,2,O49645,propep,1,0,0
baseline_esm2,2,O57413,pep,0,0,0
baseline_esm2,2,O57413,propep,0,1,0
baseline_esm2,2,O60087,pep,0,0,0
baseline_esm2,2,O60087,propep,1,0,0
baseline_esm2,2,O64864,pep,0,0,0
baseline_esm2,2,O64864,propep,1,0,0
baseline_esm2,2,O64865,pep,0,0,0
baseline_esm2,2,O64865,propep,1,0,0
baseline_esm2,2,O73795,pep,0,0,0
baseline_esm2,2,O73795,propep,0,1,1
baseline_esm2,2,O75003,pep,0,0,0
baseline_esm2,2,O75003,propep,0,1,1
baseline_esm2,2,O77256,pep,0,1,0
baseline_esm2,2,O77256,propep,0,1,1
baseline_esm2,2,O78504,pep,0,0,1
baseline_esm2,2,O78504,propep,0,1,0
