tag,frac,n_train,fold,protein,tp3,fn3,fp3,tp0,fn0,fp0
baseline,40,2102,2,B0JSW8,0,1,3,0,1,3
baseline,40,2102,2,B0XT09,0,1,1,0,1,1
baseline,40,2102,2,B0XT72,1,0,1,0,1,2
baseline,40,2102,2,B0XVI5,0,1,2,0,1,2
baseline,40,2102,2,B0Y8H9,1,0,0,1,0,0
baseline,40,2102,2,B1P1H5,1,1,1,0,2,2
baseline,40,2102,2,B1WUL2,0,1,1,0,1,1
baseline,40,2102,2,B1XMN4,1,0,1,0,1,2
baseline,40,2102,2,B2CJ57,6,2,4,2,6,8
baseline,40,2102,2,B2J4T9,1,0,1,0,1,2
baseline,40,2102,2,B2KKV6,1,0,0,0,1,1
baseline,40,2102,2,B2KKV7,1,0,0,0,1,1
baseline,40,2102,2,B2KKV8,1,0,0,1,0,0
baseline,40,2102,2,B2KKW0,0,1,0,0,1,0
baseline,40,2102,2,B2RH54,1,0,0,0,1,1
baseline,40,2102,2,B2RH58,1,0,0,0,1,1
baseline,40,2102,2,B2Y1W5,0,1,1,0,1,1
baseline,40,2102,2,B3EWS9,0,2,1,0,2,1
baseline,40,2102,2,B3H5A9,4,1,2,1,4,5
baseline,40,2102,2,B5G6G5,1,1,1,0,2,2
baseline,40,2102,2,B5VE42,1,0,0,1,0,0
baseline,40,2102,2,B6D434,0,1,2,0,1,2
baseline,40,2102,2,B6DT16,3,2,2,2,3,3
baseline,40,2102,2,B6K9M7,0,1,0,0,1,0
baseline,40,2102,2,B6KAM0,0,1,0,0,1,0
baseline,40,2102,2,B6S2X0,0,1,1,0,1,1
baseline,40,2102,2,B6S2X2,0,1,2,0,1,2
baseline,40,2102,2,B7HCU7,0,1,2,0,1,2
baseline,40,2102,2,B7HPM0,0,1,1,0,1,1
baseline,40,2102,2,B7IYH4,0,1,2,0,1,2
baseline,40,2102,2,B7JNV3,0,1,2,0,1,2
baseline,40,2102,2,B7JVQ3,0,1,2,0,1,2
baseline,40,2102,2,B7K989,0,1,2,0,1,2
baseline,40,2102,2,B8H8L6,1,0,0,1,0,0
baseline,40,2102,2,B8HTR1,0,1,2,0,1,2
baseline,40,2102,2,B8JLQ9,1,0,0,0,1,1
baseline,40,2102,2,B8XH40,0,1,1,0,1,1
baseline,40,2102,2,B8XH50,1,1,2,1,1,2
baseline,40,2102,2,B9IY88,0,1,1,0,1,1
baseline,40,2102,2,C0HJV6,1,0,0,0,1,1
baseline,40,2102,2,C0HJV7,1,0,0,0,1,1
baseline,40,2102,2,C0HJV8,1,0,0,0,1,1
baseline,40,2102,2,C0HKF6,2,0,0,1,1,1
baseline,40,2102,2,C0HKS1,0,2,2,0,2,2
baseline,40,2102,2,C0HKT2,1,0,1,1,0,1
baseline,40,2102,2,C0HKT3,0,3,1,0,3,1
baseline,40,2102,2,C0HKY1,2,5,10,1,6,11
baseline,40,2102,2,C0KYC3,2,0,0,2,0,0
baseline,40,2102,2,C0KYC4,2,0,0,2,0,0
baseline,40,2102,2,C0KYC5,1,1,1,0,2,2
baseline,40,2102,2,C0KYC6,2,0,0,1,1,1
baseline,40,2102,2,C0L2T8,0,2,1,0,2,1
baseline,40,2102,2,C1ESL5,0,1,2,0,1,2
baseline,40,2102,2,C3L5S4,0,1,2,0,1,2
baseline,40,2102,2,C3P8M7,0,1,2,0,1,2
baseline,40,2102,2,C5BVA2,1,0,0,1,0,0
baseline,40,2102,2,C5D4U8,1,0,1,0,1,2
baseline,40,2102,2,C5J886,2,0,0,1,1,1
baseline,40,2102,2,C5J887,2,0,0,2,0,0
baseline,40,2102,2,C6FX52,0,1,2,0,1,2
baseline,40,2102,2,C6KSX0,1,0,0,1,0,0
baseline,40,2102,2,C6ZJQ2,2,0,0,0,2,2
baseline,40,2102,2,C7DQB9,1,1,0,1,1,0
baseline,40,2102,2,C7DQC0,1,1,1,1,1,1
baseline,40,2102,2,C7DQC1,1,1,1,1,1,1
baseline,40,2102,2,C7DQC2,1,1,1,0,2,2
baseline,40,2102,2,C7DQX6,2,0,0,0,2,2
baseline,40,2102,2,C7DQX8,1,1,1,1,1,1
baseline,40,2102,2,C7DQX9,1,1,0,1,1,0
baseline,40,2102,2,C7DQY0,0,2,2,0,2,2
baseline,40,2102,2,C7GQJ1,1,0,0,1,0,0
baseline,40,2102,2,C7LYP7,1,0,0,1,0,0
baseline,40,2102,2,C7R403,1,0,1,1,0,1
baseline,40,2102,2,C9E1R9,0,1,1,0,1,1
baseline,40,2102,2,C9E1S1,0,1,1,0,1,1
baseline,40,2102,2,D1BHT9,1,0,0,1,0,0
baseline,40,2102,2,D2DGD3,1,1,2,0,2,3
baseline,40,2102,2,D2DGD8,0,2,2,0,2,2
baseline,40,2102,2,D2DGD9,1,1,1,0,2,2
baseline,40,2102,2,D2Y2C5,2,0,0,2,0,0
baseline,40,2102,2,D2Y2C6,2,0,0,1,1,1
baseline,40,2102,2,D2Y2C7,2,0,0,2,0,0
baseline,40,2102,2,D2Y2C8,2,0,0,2,0,0
baseline,40,2102,2,D2Y498,1,0,1,1,0,1
baseline,40,2102,2,D2Y4A0,1,0,1,1,0,1
baseline,40,2102,2,D2Y4A1,1,0,1,1,0,1
baseline,40,2102,2,D2Y4A2,1,0,1,0,1,2
baseline,40,2102,2,D3JWK3,0,1,2,0,1,2
baseline,40,2102,2,D3JWK4,1,0,1,0,1,2
baseline,40,2102,2,D3JWK5,1,0,1,1,0,1
baseline,40,2102,2,D3JWK6,0,1,1,0,1,1
baseline,40,2102,2,D4ATC3,0,1,2,0,1,2
baseline,40,2102,2,D4HRK4,2,0,0,2,0,0
baseline,40,2102,2,D4HRK7,0,1,1,0,1,1
baseline,40,2102,2,D5KXG5,0,2,3,0,2,3
baseline,40,2102,2,D5LGE0,0,5,1,0,5,1
baseline,40,2102,2,D6C4H5,0,2,2,0,2,2
baseline,40,2102,2,D6C4J4,0,2,1,0,2,1
baseline,40,2102,2,D6C4J8,3,0,0,1,2,2
baseline,40,2102,2,D6C4K5,1,1,0,1,1,0
baseline,40,2102,2,D9IWN6,2,0,0,0,2,2
baseline,40,2102,2,D9IWN7,2,0,0,0,2,2
baseline,40,2102,2,D9U2A7,0,1,0,0,1,0
baseline,40,2102,2,E1ZVK3,2,3,2,1,4,3
baseline,40,2102,2,E2A6P1,0,1,3,0,1,3
baseline,40,2102,2,E2AJ76,0,2,3,0,2,3
baseline,40,2102,2,E2ARW3,1,0,1,1,0,1
baseline,40,2102,2,E2AX35,0,1,1,0,1,1
baseline,40,2102,2,E2AZE8,2,1,1,1,2,2
baseline,40,2102,2,E2DIH5,1,1,1,0,2,2
baseline,40,2102,2,E2DIH6,2,0,0,0,2,2
baseline,40,2102,2,E4VP07,2,0,0,2,0,0
baseline,40,2102,2,E5D3Z8,1,0,0,0,1,1
baseline,40,2102,2,E9NW26,0,1,1,0,1,1
baseline,40,2102,2,E9NW27,0,1,1,0,1,1
baseline,40,2102,2,F1CJ89,0,1,3,0,1,3
baseline,40,2102,2,F1DFM9,0,1,1,0,1,1
baseline,40,2102,2,F1NV61,1,1,0,0,2,1
baseline,40,2102,2,F4I082,1,0,0,1,0,0
baseline,40,2102,2,F4JIG1,1,0,0,0,1,1
baseline,40,2102,2,F8S122,0,1,0,0,1,0
baseline,40,2102,2,G0R947,1,0,0,0,1,1
baseline,40,2102,2,G0RUP7,1,0,0,1,0,0
baseline,40,2102,2,H2CYR5,2,0,0,2,0,0
baseline,40,2102,2,H7C8I3,2,0,0,0,2,2
baseline,40,2102,2,I0DEB3,2,0,0,2,0,0
baseline,40,2102,2,I0DEB4,2,0,0,2,0,0
baseline,40,2102,2,I0DEB5,2,0,0,2,0,0
baseline,40,2102,2,I0DEB6,2,0,0,2,0,0
baseline,40,2102,2,I2DBY1,0,1,1,0,1,1
baseline,40,2102,2,I2DBY2,0,1,1,0,1,1
baseline,40,2102,2,I2DBY3,0,1,2,0,1,2
baseline,40,2102,2,I6R1R5,0,1,1,0,1,1
baseline,40,2102,2,J9VS02,0,1,3,0,1,3
baseline,40,2102,2,K1XVG1,1,0,0,0,1,1
baseline,40,2102,2,K8DWB5,0,1,1,0,1,1
baseline,40,2102,2,K9USW8,0,1,0,0,1,0
baseline,40,2102,2,L0GAZ8,2,0,0,2,0,0
baseline,40,2102,2,L0GCV8,1,1,1,1,1,1
baseline,40,2102,2,O01382,0,2,2,0,2,2
baseline,40,2102,2,O02002,0,2,2,0,2,2
baseline,40,2102,2,O08524,1,0,0,0,1,1
baseline,40,2102,2,O08738,2,0,0,1,1,1
baseline,40,2102,2,O13318,1,0,0,1,0,0
baseline,40,2102,2,O13547,1,0,0,1,0,0
baseline,40,2102,2,O13692,1,0,0,1,0,0
baseline,40,2102,2,O15130,2,2,0,2,2,0
baseline,40,2102,2,O18494,0,2,1,0,2,1
baseline,40,2102,2,O18495,0,2,0,0,2,0
baseline,40,2102,2,O18496,0,2,1,0,2,1
baseline,40,2102,2,O24565,0,1,1,0,1,1
baseline,40,2102,2,O24567,0,1,2,0,1,2
baseline,40,2102,2,O24572,0,1,1,0,1,1
baseline,40,2102,2,O24602,0,1,2,0,1,2
baseline,40,2102,2,O24618,0,1,1,0,1,1
baseline,40,2102,2,O31840,1,1,1,0,2,2
baseline,40,2102,2,O32025,0,3,1,0,3,1
baseline,40,2102,2,O32295,0,2,2,0,2,2
baseline,40,2102,2,O32389,1,0,0,0,1,1
baseline,40,2102,2,O35314,0,1,6,0,1,6
baseline,40,2102,2,O35397,0,2,1,0,2,1
baseline,40,2102,2,O44185,3,7,13,3,7,13
baseline,40,2102,2,O44516,1,0,0,0,1,1
baseline,40,2102,2,O48915,1,0,0,0,1,1
baseline,40,2102,2,O49644,1,0,0,0,1,1
baseline,40,2102,2,O49645,1,0,0,0,1,1
baseline,40,2102,2,O57413,0,1,1,0,1,1
baseline,40,2102,2,O60087,1,0,0,0,1,1
baseline,40,2102,2,O64864,1,0,0,0,1,1
baseline,40,2102,2,O64865,1,0,0,0,1,1
baseline,40,2102,2,O73795,0,1,2,0,1,2
baseline,40,2102,2,O75003,0,1,2,0,1,2
baseline,40,2102,2,O77256,2,0,0,0,2,2
baseline,40,2102,2,O78504,0,1,1,0,1,1
baseline,40,2102,2,O82081,1,0,0,0,1,1
baseline,40,2102,2,O82549,0,1,0,0,1,0
baseline,40,2102,2,O88947,1,1,1,0,2,2
baseline,40,2102,2,O89094,0,1,2,0,1,2
baseline,40,2102,2,O95831,0,1,0,0,1,0
baseline,40,2102,2,O95980,1,0,0,1,0,0
baseline,40,2102,2,O96447,0,1,1,0,1,1
baseline,40,2102,2,O96812,0,1,1,0,1,1
baseline,40,2102,2,P00740,1,1,1,1,1,1
baseline,40,2102,2,P00741,1,1,1,1,1,1
baseline,40,2102,2,P00742,0,1,1,0,1,1
baseline,40,2102,2,P00745,1,1,1,0,2,2
baseline,40,2102,2,P00750,1,0,0,0,1,1
baseline,40,2102,2,P01068,0,12,6,0,12,6
baseline,40,2102,2,P01156,3,0,0,1,2,2
baseline,40,2102,2,P01252,0,1,0,0,1,0
baseline,40,2102,2,P01344,0,1,3,0,1,3
baseline,40,2102,2,P01346,0,1,4,0,1,4
baseline,40,2102,2,P01357,3,3,9,1,5,11
baseline,40,2102,2,P01358,0,1,2,0,1,2
baseline,40,2102,2,P01501,0,2,2,0,2,2
baseline,40,2102,2,P01579,0,1,0,0,1,0
baseline,40,2102,2,P02545,0,1,0,0,1,0
baseline,40,2102,2,P02674,0,1,0,0,1,0
baseline,40,2102,2,P02681,0,1,0,0,1,0
baseline,40,2102,2,P02876,1,0,0,0,1,1
baseline,40,2102,2,P03997,0,1,0,0,1,0
baseline,40,2102,2,P03998,0,1,0,0,1,0
baseline,40,2102,2,P04002,0,1,1,0,1,1
baseline,40,2102,2,P04070,1,1,1,0,2,2
baseline,40,2102,2,P04124,0,1,1,0,1,1
baseline,40,2102,2,P05017,0,1,3,0,1,3
baseline,40,2102,2,P05019,0,1,2,0,1,2
baseline,40,2102,2,P05060,0,1,1,0,1,1
baseline,40,2102,2,P05118,0,1,1,0,1,1
baseline,40,2102,2,P05222,0,2,7,0,2,7
baseline,40,2102,2,P05224,2,3,8,1,4,9
baseline,40,2102,2,P05225,0,5,14,0,5,14
baseline,40,2102,2,P05226,2,4,10,1,5,11
baseline,40,2102,2,P06302,0,1,0,0,1,0
baseline,40,2102,2,P06454,0,1,0,0,1,0
baseline,40,2102,2,P06731,0,1,0,0,1,0
baseline,40,2102,2,P07095,1,0,0,0,1,1
baseline,40,2102,2,P07455,0,1,2,0,1,2
baseline,40,2102,2,P07456,0,1,4,0,1,4
baseline,40,2102,2,P07835,0,1,0,0,1,0
baseline,40,2102,2,P07907,0,4,1,0,4,1
baseline,40,2102,2,P08025,0,1,2,0,1,2
baseline,40,2102,2,P08454,0,1,0,0,1,0
baseline,40,2102,2,P08459,1,0,0,0,1,1
baseline,40,2102,2,P08709,1,0,1,0,1,2
baseline,40,2102,2,P09031,0,1,0,0,1,0
baseline,40,2102,2,P09166,0,1,0,0,1,0
baseline,40,2102,2,P09167,0,1,0,0,1,0
baseline,40,2102,2,P09535,0,1,5,0,1,5
baseline,40,2102,2,P09598,1,0,0,0,1,1
baseline,40,2102,2,P09989,0,1,0,0,1,0
baseline,40,2102,2,P0C0P5,0,2,1,0,2,1
baseline,40,2102,2,P0C0P6,1,1,1,0,2,2
baseline,40,2102,2,P0C0P7,0,2,2,0,2,2
baseline,40,2102,2,P0C0P8,0,2,2,0,2,2
baseline,40,2102,2,P0C1V9,2,0,0,2,0,0
baseline,40,2102,2,P0C1W0,1,1,1,1,1,1
baseline,40,2102,2,P0C1X1,0,3,3,0,3,3
baseline,40,2102,2,P0C1Y2,1,1,1,0,2,2
baseline,40,2102,2,P0C252,1,0,1,1,0,1
baseline,40,2102,2,P0C254,1,0,1,1,0,1
baseline,40,2102,2,P0C255,1,0,1,0,1,2
baseline,40,2102,2,P0C2B0,2,0,0,1,1,1
baseline,40,2102,2,P0C2B1,2,0,0,0,2,2
baseline,40,2102,2,P0C2F3,0,1,1,0,1,1
baseline,40,2102,2,P0C2S9,1,0,0,1,0,0
baseline,40,2102,2,P0C408,0,1,2,0,1,2
baseline,40,2102,2,P0C409,0,1,2,0,1,2
baseline,40,2102,2,P0C410,0,1,2,0,1,2
baseline,40,2102,2,P0C636,2,0,0,1,1,1
baseline,40,2102,2,P0C637,2,0,0,0,2,2
baseline,40,2102,2,P0C638,2,0,0,0,2,2
baseline,40,2102,2,P0C639,2,0,0,0,2,2
baseline,40,2102,2,P0C640,2,0,0,2,0,0
baseline,40,2102,2,P0C666,0,2,2,0,2,2
baseline,40,2102,2,P0C667,2,0,0,0,2,2
baseline,40,2102,2,P0C668,2,0,0,0,2,2
baseline,40,2102,2,P0C670,2,0,0,0,2,2
baseline,40,2102,2,P0C6E4,0,1,1,0,1,1
baseline,40,2102,2,P0C6E8,0,1,0,0,1,0
baseline,40,2102,2,P0C7S9,1,0,1,0,1,2
baseline,40,2102,2,P0C828,0,2,2,0,2,2
baseline,40,2102,2,P0C829,1,2,1,0,3,2
baseline,40,2102,2,P0C8P8,1,0,2,0,1,3
baseline,40,2102,2,P0C8P9,0,2,2,0,2,2
baseline,40,2102,2,P0C8R2,0,1,1,0,1,1
baseline,40,2102,2,P0C8U4,2,0,0,1,1,1
baseline,40,2102,2,P0C8U6,2,0,0,0,2,2
baseline,40,2102,2,P0C8U7,2,0,0,0,2,2
baseline,40,2102,2,P0C8U8,0,2,1,0,2,1
baseline,40,2102,2,P0C8U9,0,2,1,0,2,1
baseline,40,2102,2,P0C8V0,1,1,1,1,1,1
baseline,40,2102,2,P0C8W1,2,0,0,2,0,0
baseline,40,2102,2,P0C8W2,1,1,2,1,1,2
baseline,40,2102,2,P0C901,2,0,0,0,2,2
baseline,40,2102,2,P0C940,1,0,0,0,1,1
baseline,40,2102,2,P0C954,1,0,0,1,0,0
baseline,40,2102,2,P0C955,0,1,1,0,1,1
baseline,40,2102,2,P0C956,0,1,2,0,1,2
baseline,40,2102,2,P0CAQ2,0,2,2,0,2,2
baseline,40,2102,2,P0CAQ3,0,2,2,0,2,2
baseline,40,2102,2,P0CAQ5,2,0,0,0,2,2
baseline,40,2102,2,P0CAQ6,2,0,0,1,1,1
baseline,40,2102,2,P0CAQ7,1,0,1,0,1,2
baseline,40,2102,2,P0CAQ8,0,1,1,0,1,1
baseline,40,2102,2,P0CAQ9,0,1,1,0,1,1
baseline,40,2102,2,P0CAZ2,1,0,2,1,0,2
baseline,40,2102,2,P0CAZ3,1,0,0,1,0,0
baseline,40,2102,2,P0CAZ4,1,0,1,1,0,1
baseline,40,2102,2,P0CAZ5,1,0,1,1,0,1
baseline,40,2102,2,P0CAZ6,1,0,0,1,0,0
baseline,40,2102,2,P0CAZ7,1,0,0,1,0,0
baseline,40,2102,2,P0CAZ8,0,1,3,0,1,3
baseline,40,2102,2,P0CAZ9,1,0,1,1,0,1
baseline,40,2102,2,P0CB07,2,0,0,0,2,2
baseline,40,2102,2,P0CB08,1,1,1,0,2,2
baseline,40,2102,2,P0CB12,2,0,0,0,2,2
baseline,40,2102,2,P0CB14,0,1,0,0,1,0
baseline,40,2102,2,P0CE73,2,0,0,0,2,2
baseline,40,2102,2,P0CE75,3,0,0,0,3,3
baseline,40,2102,2,P0CE76,3,0,0,0,3,3
baseline,40,2102,2,P0CE79,1,0,0,0,1,1
baseline,40,2102,2,P0CE80,1,0,0,0,1,1
baseline,40,2102,2,P0CE81,1,0,0,0,1,1
baseline,40,2102,2,P0CE82,1,0,0,0,1,1
baseline,40,2102,2,P0CE83,1,0,0,0,1,1
baseline,40,2102,2,P0CH50,1,0,0,0,1,1
baseline,40,2102,2,P0CI13,0,1,1,0,1,1
baseline,40,2102,2,P0CI49,0,1,0,0,1,0
baseline,40,2102,2,P0CY75,2,0,0,1,1,1
baseline,40,2102,2,P0CY76,1,0,1,0,1,2
baseline,40,2102,2,P0CY77,0,1,1,0,1,1
baseline,40,2102,2,P0CY78,0,2,2,0,2,2
baseline,40,2102,2,P0CY80,2,0,0,1,1,1
baseline,40,2102,2,P0CY81,2,0,0,0,2,2
baseline,40,2102,2,P0CY82,0,2,2,0,2,2
baseline,40,2102,2,P0CY86,2,0,0,0,2,2
baseline,40,2102,2,P0DJ02,2,0,0,2,0,0
baseline,40,2102,2,P0DJ03,2,0,0,2,0,0
baseline,40,2102,2,P0DJO3,2,0,0,2,0,0
baseline,40,2102,2,P0DJO4,2,0,0,2,0,0
baseline,40,2102,2,P0DKM1,1,0,0,1,0,0
baseline,40,2102,2,P0DKN0,1,0,1,0,1,2
baseline,40,2102,2,P0DKP4,0,4,4,0,4,4
baseline,40,2102,2,P0DKP6,2,0,0,1,1,1
baseline,40,2102,2,P0DKP8,2,0,0,0,2,2
baseline,40,2102,2,P0DM21,2,0,0,0,2,2
baseline,40,2102,2,P0DM23,2,0,0,0,2,2
baseline,40,2102,2,P0DM26,0,3,1,0,3,1
baseline,40,2102,2,P0DME6,2,0,0,2,0,0
baseline,40,2102,2,P0DME7,2,0,0,1,1,1
baseline,40,2102,2,P0DME8,2,0,0,2,0,0
baseline,40,2102,2,P0DME9,2,0,0,2,0,0
baseline,40,2102,2,P0DMF1,0,1,6,0,1,6
baseline,40,2102,2,P0DMF4,1,1,2,1,1,2
baseline,40,2102,2,P0DMF5,2,0,0,1,1,1
baseline,40,2102,2,P0DMF6,1,1,2,1,1,2
baseline,40,2102,2,P0DMF7,2,0,0,1,1,1
baseline,40,2102,2,P0DMF9,2,0,0,2,0,0
baseline,40,2102,2,P0DMZ2,1,0,0,1,0,0
baseline,40,2102,2,P0DMZ8,2,3,2,0,5,4
baseline,40,2102,2,P0DMZ9,2,3,3,0,5,5
baseline,40,2102,2,P0DN46,2,0,0,0,2,2
baseline,40,2102,2,P0DN47,2,0,0,1,1,1
baseline,40,2102,2,P0DOZ7,3,0,0,1,2,2
baseline,40,2102,2,P0DPE6,0,1,2,0,1,2
baseline,40,2102,2,P0DPL8,2,0,0,0,2,2
baseline,40,2102,2,P0DPL9,2,0,0,0,2,2
baseline,40,2102,2,P0DPM0,0,2,2,0,2,2
baseline,40,2102,2,P0DPM1,2,0,0,0,2,2
baseline,40,2102,2,P0DPT2,0,1,1,0,1,1
baseline,40,2102,2,P0DQJ4,1,0,1,0,1,2
baseline,40,2102,2,P0DQP3,1,0,1,0,1,2
baseline,40,2102,2,P0DQP4,1,0,1,0,1,2
baseline,40,2102,2,P0DQR6,1,0,0,0,1,1
baseline,40,2102,2,P0DRD0,0,2,1,0,2,1
baseline,40,2102,2,P0DRD1,0,2,1,0,2,1
baseline,40,2102,2,P0DRD2,0,2,1,0,2,1
baseline,40,2102,2,P0DRD4,1,1,0,0,2,1
baseline,40,2102,2,P0DRD5,2,0,0,0,2,2
baseline,40,2102,2,P0DRH5,2,0,0,1,1,1
baseline,40,2102,2,P0DRH6,2,0,0,1,1,1
baseline,40,2102,2,P0DRH7,2,0,0,2,0,0
baseline,40,2102,2,P0DRH9,1,1,2,0,2,3
baseline,40,2102,2,P0DRI0,1,1,2,0,2,3
baseline,40,2102,2,P0DRI1,1,1,2,0,2,3
baseline,40,2102,2,P0DRI3,1,0,1,0,1,2
baseline,40,2102,2,P0DSI4,2,0,0,0,2,2
baseline,40,2102,2,P0DSI5,1,1,2,0,2,3
baseline,40,2102,2,P0DSI6,2,0,0,0,2,2
baseline,40,2102,2,P0DSJ4,1,0,1,0,1,2
baseline,40,2102,2,P0DSJ5,0,1,2,0,1,2
baseline,40,2102,2,P0DSJ8,1,1,1,0,2,2
baseline,40,2102,2,P0DSJ9,1,1,1,0,2,2
baseline,40,2102,2,P0DSK1,1,1,1,0,2,2
baseline,40,2102,2,P0DSK4,0,1,3,0,1,3
baseline,40,2102,2,P0DUG2,1,0,0,0,1,1
