model,fold,protein,task,length,m3
adapter256,2,O32389,propep,26,1
adapter256,2,O35314,pep,11,1
adapter256,2,O35397,propep,5,1
adapter256,2,O35397,propep,14,1
adapter256,2,O44185,pep,15,1
adapter256,2,O44185,pep,10,1
adapter256,2,O44185,pep,10,1
adapter256,2,O44185,pep,10,1
adapter256,2,O44185,pep,10,1
adapter256,2,O44185,pep,10,1
adapter256,2,O44185,pep,10,1
adapter256,2,O44185,pep,9,1
adapter256,2,O44185,pep,9,1
adapter256,2,O44185,propep,26,0
adapter256,2,O44516,propep,19,1
adapter256,2,O48915,propep,24,1
adapter256,2,O49644,propep,25,1
adapter256,2,O49645,propep,25,1
adapter256,2,O57413,propep,18,0
adapter256,2,O60087,propep,12,1
adapter256,2,O64864,propep,28,1
adapter256,2,O64865,propep,28,1
adapter256,2,O73795,propep,16,0
adapter256,2,O75003,propep,25,0
adapter256,2,O77256,pep,10,1
adapter256,2,O77256,propep,22,1
adapter256,2,O78504,propep,8,1
adapter256,2,O82081,propep,24,1
adapter256,2,O82549,propep,36,0
adapter256,2,O88947,propep,20,1
adapter256,2,O88947,propep,48,1
adapter256,2,O89094,propep,12,0
adapter256,2,O94779,propep,28,1
adapter256,2,O95831,propep,47,0
adapter256,2,O95980,propep,29,1
adapter256,2,O96447,propep,14,0
adapter256,2,O96812,propep,7,1
adapter256,2,P00740,propep,18,1
adapter256,2,P00740,propep,35,0
adapter256,2,P00741,propep,18,1
adapter256,2,P00741,propep,35,0
adapter256,2,P00742,propep,9,0
adapter256,2,P00745,pep,14,0
adapter256,2,P00745,propep,24,1
adapter256,2,P00750,propep,10,1
adapter256,2,P01068,pep,11,0
adapter256,2,P01068,pep,41,0
adapter256,2,P01068,pep,11,0
adapter256,2,P01068,pep,41,0
adapter256,2,P01068,pep,11,0
adapter256,2,P01068,pep,41,0
adapter256,2,P01068,propep,5,0
adapter256,2,P01068,propep,19,0
adapter256,2,P01068,propep,5,0
adapter256,2,P01068,propep,19,0
adapter256,2,P01068,propep,5,0
adapter256,2,P01068,propep,18,0
adapter256,2,P01156,pep,6,1
adapter256,2,P01156,pep,13,1
adapter256,2,P01156,pep,5,0
adapter256,2,P01252,pep,28,1
adapter256,2,P01344,pep,34,1
adapter256,2,P01346,pep,34,1
adapter256,2,P01357,pep,10,1
adapter256,2,P01357,pep,10,1
adapter256,2,P01357,pep,10,1
adapter256,2,P01357,pep,10,1
adapter256,2,P01357,propep,46,0
adapter256,2,P01357,propep,5,1
adapter256,2,P01358,pep,9,1
adapter256,2,P01501,pep,26,1
adapter256,2,P01501,propep,22,1
adapter256,2,P01579,propep,5,0
adapter256,2,P02545,propep,15,0
adapter256,2,P02674,pep,6,1
adapter256,2,P02681,pep,28,0
adapter256,2,P02876,propep,15,1
adapter256,2,P03997,pep,28,0
adapter256,2,P03998,pep,28,0
adapter256,2,P04002,propep,21,0
adapter256,2,P04070,pep,12,0
adapter256,2,P04070,propep,24,1
adapter256,2,P04124,propep,13,1
adapter256,2,P05017,propep,35,0
adapter256,2,P05019,propep,27,0
adapter256,2,P05060,pep,11,1
adapter256,2,P05118,propep,13,1
adapter256,2,P05222,pep,10,1
adapter256,2,P05222,propep,5,1
adapter256,2,P05224,pep,10,1
adapter256,2,P05224,pep,10,1
adapter256,2,P05224,pep,10,1
adapter256,2,P05224,propep,46,0
adapter256,2,P05224,propep,5,1
adapter256,2,P05225,pep,10,1
adapter256,2,P05225,pep,10,1
adapter256,2,P05225,pep,10,1
adapter256,2,P05225,pep,10,1
adapter256,2,P05225,propep,22,0
adapter256,2,P05226,pep,10,1
adapter256,2,P05226,pep,10,1
adapter256,2,P05226,pep,10,1
adapter256,2,P05226,pep,10,1
adapter256,2,P05226,propep,47,0
adapter256,2,P05226,propep,5,1
adapter256,2,P06302,pep,28,1
adapter256,2,P06454,pep,28,1
adapter256,2,P06731,propep,26,1
adapter256,2,P07095,propep,8,0
adapter256,2,P07455,propep,35,0
adapter256,2,P07456,pep,34,0
adapter256,2,P07835,propep,18,0
adapter256,2,P07907,pep,11,0
adapter256,2,P07907,pep,11,0
adapter256,2,P07907,pep,11,0
adapter256,2,P07907,pep,11,0
adapter256,2,P08025,propep,35,0
adapter256,2,P08454,propep,13,1
adapter256,2,P08459,propep,27,1
adapter256,2,P08709,propep,40,1
adapter256,2,P09031,propep,25,0
adapter256,2,P09166,propep,47,0
adapter256,2,P09167,propep,48,0
adapter256,2,P09535,pep,34,0
adapter256,2,P09598,propep,14,1
adapter256,2,P09989,propep,19,0
adapter256,2,P0C0P5,pep,20,0
adapter256,2,P0C0P5,propep,44,0
adapter256,2,P0C0P6,pep,20,0
adapter256,2,P0C0P6,propep,44,0
adapter256,2,P0C0P7,pep,20,0
adapter256,2,P0C0P7,propep,46,0
adapter256,2,P0C0P8,pep,20,0
adapter256,2,P0C0P8,propep,46,0
adapter256,2,P0C1V9,pep,16,1
adapter256,2,P0C1V9,propep,25,1
adapter256,2,P0C1W0,pep,16,0
adapter256,2,P0C1W0,propep,27,1
adapter256,2,P0C1X1,pep,36,0
adapter256,2,P0C1X1,propep,17,0
adapter256,2,P0C1X1,propep,5,1
adapter256,2,P0C1Y2,pep,13,1
adapter256,2,P0C1Y2,propep,30,1
adapter256,2,P0C252,propep,5,0
adapter256,2,P0C254,propep,10,1
adapter256,2,P0C255,propep,10,0
adapter256,2,P0C2B0,pep,12,1
adapter256,2,P0C2B0,propep,27,1
adapter256,2,P0C2B1,pep,12,1
adapter256,2,P0C2B1,propep,24,1
adapter256,2,P0C2F3,pep,10,0
adapter256,2,P0C2S9,propep,21,1
adapter256,2,P0C408,propep,24,1
adapter256,2,P0C409,propep,24,1
adapter256,2,P0C410,propep,24,1
adapter256,2,P0C636,pep,12,1
adapter256,2,P0C636,propep,29,1
adapter256,2,P0C637,pep,11,1
adapter256,2,P0C637,propep,30,1
adapter256,2,P0C638,pep,11,1
adapter256,2,P0C638,propep,28,1
adapter256,2,P0C639,pep,12,1
adapter256,2,P0C639,propep,28,1
adapter256,2,P0C640,pep,18,1
adapter256,2,P0C640,propep,27,1
adapter256,2,P0C666,pep,14,0
adapter256,2,P0C666,propep,37,0
adapter256,2,P0C667,pep,12,1
adapter256,2,P0C667,propep,26,1
adapter256,2,P0C668,pep,11,1
adapter256,2,P0C668,propep,26,1
adapter256,2,P0C670,pep,12,1
adapter256,2,P0C670,propep,28,0
adapter256,2,P0C6E4,propep,16,0
adapter256,2,P0C6E8,propep,16,0
adapter256,2,P0C7S9,propep,33,1
adapter256,2,P0C828,pep,30,0
adapter256,2,P0C828,propep,17,0
adapter256,2,P0C829,pep,37,1
adapter256,2,P0C829,propep,17,1
adapter256,2,P0C829,propep,5,1
adapter256,2,P0C8P8,pep,17,1
adapter256,2,P0C8P9,pep,14,1
adapter256,2,P0C8P9,propep,42,1
adapter256,2,P0C8R2,pep,19,1
adapter256,2,P0C8U4,pep,15,1
adapter256,2,P0C8U4,propep,26,1
adapter256,2,P0C8U6,pep,20,1
adapter256,2,P0C8U6,propep,22,1
adapter256,2,P0C8U7,pep,20,1
adapter256,2,P0C8U7,propep,22,1
adapter256,2,P0C8U8,pep,42,0
adapter256,2,P0C8U8,propep,19,1
adapter256,2,P0C8U9,pep,42,0
adapter256,2,P0C8U9,propep,19,1
adapter256,2,P0C8V0,pep,23,1
adapter256,2,P0C8V0,propep,18,1
adapter256,2,P0C8W1,pep,13,1
adapter256,2,P0C8W1,propep,32,1
adapter256,2,P0C8W2,pep,10,1
adapter256,2,P0C8W2,propep,32,1
adapter256,2,P0C901,pep,18,0
adapter256,2,P0C901,propep,26,0
adapter256,2,P0C940,propep,28,1
adapter256,2,P0C954,propep,24,1
adapter256,2,P0C955,propep,32,0
adapter256,2,P0C956,propep,29,0
adapter256,2,P0CAQ2,pep,36,0
adapter256,2,P0CAQ2,propep,5,0
adapter256,2,P0CAQ3,pep,37,0
adapter256,2,P0CAQ3,propep,5,0
adapter256,2,P0CAQ5,pep,15,1
adapter256,2,P0CAQ5,propep,26,1
adapter256,2,P0CAQ6,pep,16,1
adapter256,2,P0CAQ6,propep,23,1
adapter256,2,P0CAQ7,pep,17,0
adapter256,2,P0CAQ8,pep,17,1
adapter256,2,P0CAQ9,pep,17,1
adapter256,2,P0CAZ2,propep,40,1
adapter256,2,P0CAZ3,propep,40,1
adapter256,2,P0CAZ4,propep,40,1
adapter256,2,P0CAZ5,propep,40,1
adapter256,2,P0CAZ6,propep,40,1
adapter256,2,P0CAZ7,propep,40,1
adapter256,2,P0CAZ8,propep,40,1
adapter256,2,P0CAZ9,propep,40,1
adapter256,2,P0CB07,pep,17,1
adapter256,2,P0CB07,propep,26,1
adapter256,2,P0CB08,pep,18,1
adapter256,2,P0CB08,propep,26,1
adapter256,2,P0CB12,pep,17,1
adapter256,2,P0CB12,propep,26,1
adapter256,2,P0CB14,propep,26,0
adapter256,2,P0CE73,pep,16,1
adapter256,2,P0CE73,propep,27,1
adapter256,2,P0CE75,pep,37,0
adapter256,2,P0CE75,propep,17,0
adapter256,2,P0CE75,propep,5,1
adapter256,2,P0CE76,pep,37,0
adapter256,2,P0CE76,propep,17,0
adapter256,2,P0CE76,propep,5,1
adapter256,2,P0CE79,propep,8,1
adapter256,2,P0CE80,propep,8,1
adapter256,2,P0CE81,propep,8,1
adapter256,2,P0CE82,propep,8,1
adapter256,2,P0CE83,propep,8,1
adapter256,2,P0CH50,pep,31,1
adapter256,2,P0CI13,propep,32,1
adapter256,2,P0CI49,propep,8,0
adapter256,2,P0CY75,pep,16,1
adapter256,2,P0CY75,propep,27,1
adapter256,2,P0CY76,pep,15,0
adapter256,2,P0CY77,pep,16,1
adapter256,2,P0CY78,pep,33,0
adapter256,2,P0CY78,propep,16,0
adapter256,2,P0CY80,pep,26,0
adapter256,2,P0CY80,propep,23,1
adapter256,2,P0CY81,pep,22,1
adapter256,2,P0CY81,propep,27,1
adapter256,2,P0CY82,pep,36,0
adapter256,2,P0CY82,propep,5,0
adapter256,2,P0CY86,pep,15,1
adapter256,2,P0CY86,propep,26,1
adapter256,2,P0DJ02,pep,13,1
adapter256,2,P0DJ02,propep,29,1
adapter256,2,P0DJ03,pep,13,1
adapter256,2,P0DJ03,propep,31,1
adapter256,2,P0DJO3,pep,14,1
adapter256,2,P0DJO3,propep,34,1
adapter256,2,P0DJO4,pep,14,1
adapter256,2,P0DJO4,propep,29,1
adapter256,2,P0DKM1,propep,13,1
adapter256,2,P0DKN0,propep,8,1
adapter256,2,P0DKP4,pep,21,0
adapter256,2,P0DKP4,pep,29,0
