model,fold,protein,task,length,genus,new,m0,m1,m2,m3
baseline_esm2,2,A0A3G3C7V0,propep,23,Conus,False,0,0,0,0
baseline_esm2,2,A0A3G6IHA6,pep,30,Conus,True,1,1,1,1
baseline_esm2,2,A0A6G9KHD1,pep,14,Manica,False,1,1,1,1
baseline_esm2,2,A0A6G9KHD1,propep,8,Manica,False,0,0,0,0
baseline_esm2,2,A0A6G9KHD6,pep,29,Manica,False,0,1,1,1
baseline_esm2,2,A0A6G9KHD6,propep,26,Manica,False,0,1,1,1
baseline_esm2,2,A0A6G9KHE4,pep,20,Manica,True,0,0,1,1
baseline_esm2,2,A0A6G9KIR5,pep,26,Manica,False,0,0,0,0
baseline_esm2,2,A0A6G9KIR5,propep,10,Manica,False,0,0,0,0
baseline_esm2,2,A0A6G9KJK9,pep,29,Manica,False,0,1,1,1
baseline_esm2,2,A0A6G9KJK9,propep,26,Manica,False,0,1,1,1
baseline_esm2,2,A0A6G9KJV6,pep,28,Manica,False,1,1,1,1
baseline_esm2,2,A0A6G9KJV6,propep,26,Manica,False,1,1,1,1
baseline_esm2,2,A0A6M3Z4D9,pep,21,Tetramorium,True,0,0,0,0
baseline_esm2,2,A0A6M3Z4D9,propep,10,Tetramorium,True,0,1,1,1
baseline_esm2,2,A0A6M3Z4R1,pep,23,Tetramorium,True,0,0,0,0
baseline_esm2,2,A0A6M3Z4R1,propep,26,Tetramorium,True,0,0,0,0
baseline_esm2,2,A0A6M3Z4R4,pep,10,Tetramorium,True,0,0,0,0
baseline_esm2,2,A0A6M3Z4R4,propep,26,Tetramorium,True,0,0,0,0
baseline_esm2,2,A0A8U0LTF0,pep,26,Rhytidoponera,True,0,1,1,1
baseline_esm2,2,A0A8U0LTF0,propep,26,Rhytidoponera,True,0,0,0,0
baseline_esm2,2,A0A8U0LTY4,pep,27,Rhytidoponera,True,0,0,0,0
baseline_esm2,2,A0A8U0LTY4,propep,28,Rhytidoponera,True,0,0,0,0
baseline_esm2,2,A0A976XKR0,propep,45,Dendrocnide,True,0,1,1,1
baseline_esm2,2,A0SE59,pep,17,Conus,False,0,1,1,1
baseline_esm2,2,A0SE59,propep,27,Conus,False,1,1,1,1
baseline_esm2,2,A0SE60,pep,17,Conus,False,0,1,1,1
baseline_esm2,2,A0SE60,propep,25,Conus,False,1,1,1,1
baseline_esm2,2,A0T099,propep,7,Phaeodactylum,False,0,0,0,0
baseline_esm2,2,A0T0S8,propep,7,Thalassiosira,False,0,0,0,0
baseline_esm2,2,A0ZZ18,propep,24,Gossypium,False,0,0,0,0
baseline_esm2,2,A1E9Q7,propep,24,Sorghum,False,0,0,0,0
baseline_esm2,2,A1E9Z1,propep,25,Agrostis,False,0,0,0,0
baseline_esm2,2,A1R6Q7,propep,46,Paenarthrobacter,False,1,1,1,1
baseline_esm2,2,A1SK13,propep,48,Nocardioides,False,1,1,1,1
baseline_esm2,2,A1X8B8,pep,19,Conus,False,0,1,1,1
baseline_esm2,2,A1X8B8,propep,28,Conus,False,0,1,1,1
baseline_esm2,2,A1X8B9,pep,20,Conus,False,1,1,1,1
baseline_esm2,2,A1X8B9,propep,27,Conus,False,1,1,1,1
baseline_esm2,2,A1X8C2,pep,23,Conus,False,1,1,1,1
baseline_esm2,2,A1X8C2,propep,20,Conus,False,1,1,1,1
baseline_esm2,2,A1X8C3,pep,23,Conus,False,0,1,1,1
baseline_esm2,2,A1X8C3,propep,20,Conus,False,0,1,1,1
baseline_esm2,2,A1X8C6,pep,21,Conus,True,0,0,0,0
baseline_esm2,2,A1X8D0,pep,16,Conus,True,0,0,0,0
baseline_esm2,2,A1X8D8,pep,16,Conus,True,0,0,0,0
baseline_esm2,2,A1X8D9,pep,15,Conus,True,0,0,0,0
baseline_esm2,2,A2BP71,propep,9,Prochlorococcus,False,0,0,0,0
baseline_esm2,2,A2BUQ3,propep,9,Prochlorococcus,False,0,0,0,0
baseline_esm2,2,A2C0A5,propep,10,Prochlorococcus,False,0,0,0,0
baseline_esm2,2,A2CCL2,propep,10,Prochlorococcus,False,0,0,0,0
baseline_esm2,2,A3DT44,pep,29,Conus,True,0,0,0,0
baseline_esm2,2,A3PAZ3,propep,9,Prochlorococcus,False,0,0,0,0
baseline_esm2,2,A4USB4,propep,8,Loxosceles,False,0,0,0,1
baseline_esm2,2,A4X3P0,propep,48,Salinispora,False,1,1,1,1
baseline_esm2,2,A5GIE8,propep,10,Synechococcus,False,0,1,1,1
baseline_esm2,2,A5GWF4,propep,10,Synechococcus,False,0,0,0,0
baseline_esm2,2,A5LHX3,propep,49,Homo,False,1,1,1,1
baseline_esm2,2,A6LHQ9,propep,26,Parabacteroides,False,0,0,0,0
baseline_esm2,2,A6M934,pep,17,Conus,False,0,1,1,1
baseline_esm2,2,A6M934,propep,27,Conus,False,1,1,1,1
baseline_esm2,2,A6M938,pep,17,Conus,True,0,0,0,0
baseline_esm2,2,A6MFK7,propep,20,Demansia,False,0,0,1,1
baseline_esm2,2,A6MFK7,propep,47,Demansia,False,0,0,0,0
baseline_esm2,2,A6MFK8,propep,20,Demansia,False,0,0,1,1
baseline_esm2,2,A6MFK8,propep,45,Demansia,False,0,0,0,0
baseline_esm2,2,A6P331,pep,9,Anoplius,False,0,0,0,0
baseline_esm2,2,A6YRN9,propep,26,Pleurotus,False,0,0,0,0
baseline_esm2,2,A6ZL22,propep,23,Saccharomyces,False,1,1,1,1
baseline_esm2,2,A6ZY20,propep,25,Saccharomyces,False,0,1,1,1
baseline_esm2,2,A7GT16,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,A7SRR3,propep,28,Nematostella,False,0,1,1,1
baseline_esm2,2,A7Z6W8,propep,16,Bacillus,False,0,0,0,0
baseline_esm2,2,A8FFD9,propep,16,Bacillus,False,0,0,0,0
baseline_esm2,2,A8G2T2,propep,9,Prochlorococcus,False,0,0,0,0
baseline_esm2,2,A9VHU8,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,A9XDG0,propep,23,Alopecosa,False,0,1,1,1
baseline_esm2,2,A9XDG1,propep,23,Alopecosa,False,0,1,1,1
baseline_esm2,2,A9XDG2,propep,23,Alopecosa,False,0,1,1,1
baseline_esm2,2,A9XDG3,propep,23,Alopecosa,False,0,1,1,1
baseline_esm2,2,B0BK71,propep,35,Mycetinis,False,0,1,1,1
baseline_esm2,2,B0BK72,propep,39,Mycetinis,False,0,0,0,0
baseline_esm2,2,B0JSW8,propep,8,Microcystis,False,0,0,0,0
baseline_esm2,2,B0XT09,propep,32,Aspergillus,False,0,0,0,1
baseline_esm2,2,B0XT72,propep,33,Aspergillus,False,0,1,1,1
baseline_esm2,2,B0XVI5,propep,29,Aspergillus,False,0,0,0,0
baseline_esm2,2,B0Y8H9,propep,24,Aspergillus,False,1,1,1,1
baseline_esm2,2,B1P1H5,pep,35,Chilobrachys,False,0,0,0,0
baseline_esm2,2,B1P1H5,propep,25,Chilobrachys,False,0,0,1,1
baseline_esm2,2,B1WUL2,propep,8,Crocosphaera,False,0,0,0,0
baseline_esm2,2,B1XMN4,propep,8,Picosynechococcus,False,0,0,0,0
baseline_esm2,2,B2CJ57,pep,9,Epichloe,True,1,1,1,1
baseline_esm2,2,B2CJ57,pep,9,Epichloe,True,1,1,1,1
baseline_esm2,2,B2CJ57,pep,9,Epichloe,True,0,0,1,1
baseline_esm2,2,B2CJ57,pep,9,Epichloe,True,0,0,0,1
baseline_esm2,2,B2CJ57,propep,20,Epichloe,True,0,0,1,1
baseline_esm2,2,B2CJ57,propep,18,Epichloe,True,1,1,1,1
baseline_esm2,2,B2CJ57,propep,18,Epichloe,True,1,1,1,1
baseline_esm2,2,B2CJ57,propep,18,Epichloe,True,0,0,1,1
baseline_esm2,2,B2J4T9,propep,8,Nostoc,False,0,0,0,0
baseline_esm2,2,B2KKV6,propep,8,Loxosceles,False,1,1,1,1
baseline_esm2,2,B2KKV7,propep,8,Loxosceles,True,1,1,1,1
baseline_esm2,2,B2KKV8,propep,8,Loxosceles,True,1,1,1,1
baseline_esm2,2,B2KKW0,propep,8,Loxosceles,False,0,0,1,1
baseline_esm2,2,B2RH54,propep,28,Porphyromonas,False,0,1,1,1
baseline_esm2,2,B2RH58,propep,26,Porphyromonas,False,0,0,0,1
baseline_esm2,2,B2Y1W5,propep,19,Welwitschia,False,0,0,0,0
baseline_esm2,2,B3EWS9,pep,19,Cupiennius,True,0,0,0,0
baseline_esm2,2,B3EWS9,pep,19,Cupiennius,True,0,0,0,0
baseline_esm2,2,B3H5A9,pep,15,Arabidopsis,False,0,0,0,0
baseline_esm2,2,B3H5A9,pep,15,Arabidopsis,False,0,0,0,0
baseline_esm2,2,B3H5A9,propep,22,Arabidopsis,False,0,1,1,1
baseline_esm2,2,B3H5A9,propep,14,Arabidopsis,False,0,0,0,0
baseline_esm2,2,B3H5A9,propep,9,Arabidopsis,False,1,1,1,1
baseline_esm2,2,B5G6G5,propep,20,Cryptophis,False,0,0,1,1
baseline_esm2,2,B5G6G5,propep,28,Cryptophis,False,0,0,0,0
baseline_esm2,2,B5VE42,propep,23,Saccharomyces,False,1,1,1,1
baseline_esm2,2,B6D434,pep,30,Bungarus,False,0,0,0,0
baseline_esm2,2,B6DT16,pep,14,Rhodnius,False,1,1,1,1
baseline_esm2,2,B6DT16,pep,14,Rhodnius,False,1,1,1,1
baseline_esm2,2,B6DT16,pep,14,Rhodnius,False,1,1,1,1
baseline_esm2,2,B6DT16,propep,12,Rhodnius,False,0,0,0,0
baseline_esm2,2,B6DT16,propep,11,Rhodnius,False,0,0,0,0
baseline_esm2,2,B6K9M7,propep,40,Toxoplasma,False,0,0,0,0
baseline_esm2,2,B6KAM0,propep,18,Toxoplasma,False,0,0,0,0
baseline_esm2,2,B6S2X0,pep,34,Naja,False,0,0,0,0
baseline_esm2,2,B6S2X2,pep,30,Ophiophagus,False,0,0,0,0
baseline_esm2,2,B7HCU7,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,B7HPM0,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,B7IYH4,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,B7JNV3,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,B7JVQ3,propep,8,Rippkaea,False,0,0,0,0
baseline_esm2,2,B7K989,propep,8,Gloeothece,False,0,0,0,0
baseline_esm2,2,B8H8L6,propep,50,Pseudarthrobacter,False,1,1,1,1
baseline_esm2,2,B8HTR1,propep,8,Cyanothece,False,0,0,0,0
baseline_esm2,2,B8JLQ9,propep,24,Danio,False,1,1,1,1
baseline_esm2,2,B8XH40,propep,7,Buthus,False,0,0,0,0
baseline_esm2,2,B8XH50,pep,10,Buthus,False,1,1,1,1
baseline_esm2,2,B8XH50,propep,31,Buthus,False,1,1,1,1
baseline_esm2,2,B9IY88,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,C0HJV6,propep,43,Lachesana,False,0,1,1,1
baseline_esm2,2,C0HJV7,propep,47,Lachesana,False,0,1,1,1
baseline_esm2,2,C0HJV8,propep,47,Lachesana,False,0,1,1,1
baseline_esm2,2,C0HKF6,pep,16,Conus,False,0,1,1,1
baseline_esm2,2,C0HKF6,propep,30,Conus,False,1,1,1,1
baseline_esm2,2,C0HKS1,pep,15,Agrotis,False,0,0,0,0
baseline_esm2,2,C0HKS1,pep,13,Agrotis,False,0,0,0,0
baseline_esm2,2,C0HKT2,pep,11,Agrotis,False,1,1,1,1
baseline_esm2,2,C0HKT3,pep,31,Agrotis,False,0,0,0,1
baseline_esm2,2,C0HKT3,propep,47,Agrotis,False,0,0,0,0
baseline_esm2,2,C0HKT3,propep,5,Agrotis,False,1,1,1,1
baseline_esm2,2,C0HKY1,pep,14,Agrotis,False,0,0,0,0
baseline_esm2,2,C0HKY1,pep,19,Agrotis,False,0,0,0,0
baseline_esm2,2,C0HKY1,pep,33,Agrotis,False,1,1,1,1
baseline_esm2,2,C0HKY1,pep,14,Agrotis,False,1,1,1,1
baseline_esm2,2,C0HKY1,pep,22,Agrotis,False,1,1,1,1
baseline_esm2,2,C0HKY1,pep,12,Agrotis,False,1,1,1,1
baseline_esm2,2,C0HKY1,pep,22,Agrotis,False,0,0,0,0
baseline_esm2,2,C0KYC3,pep,13,Conus,False,1,1,1,1
baseline_esm2,2,C0KYC3,propep,22,Conus,False,1,1,1,1
baseline_esm2,2,C0KYC4,pep,13,Conus,False,1,1,1,1
baseline_esm2,2,C0KYC4,propep,10,Conus,False,0,0,1,1
baseline_esm2,2,C0KYC5,pep,15,Conus,False,0,0,0,1
baseline_esm2,2,C0KYC5,propep,22,Conus,False,0,0,0,0
baseline_esm2,2,C0KYC6,pep,14,Conus,False,0,0,1,1
baseline_esm2,2,C0KYC6,propep,22,Conus,False,1,1,1,1
baseline_esm2,2,C0L2T8,propep,19,Crotalus,False,0,0,0,0
baseline_esm2,2,C0L2T8,propep,5,Crotalus,False,0,0,0,0
baseline_esm2,2,C1ESL5,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,C3L5S4,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,C3P8M7,propep,15,Bacillus,False,0,0,0,0
baseline_esm2,2,C5BVA2,propep,47,Beutenbergia,False,1,1,1,1
baseline_esm2,2,C5D4U8,propep,15,Geobacillus,False,0,0,0,0
baseline_esm2,2,C5J886,pep,13,Opisthacanthus,False,1,1,1,1
baseline_esm2,2,C5J886,propep,31,Opisthacanthus,False,0,0,1,1
baseline_esm2,2,C5J887,pep,14,Opisthacanthus,False,1,1,1,1
baseline_esm2,2,C5J887,propep,29,Opisthacanthus,False,1,1,1,1
baseline_esm2,2,C6FX52,pep,12,Streptomyces,False,0,0,0,1
baseline_esm2,2,C6KSX0,propep,25,Plasmodium,False,0,1,1,1
baseline_esm2,2,C6ZJQ2,pep,19,Conus,False,0,1,1,1
baseline_esm2,2,C6ZJQ2,propep,28,Conus,False,0,1,1,1
baseline_esm2,2,C7DQB9,pep,46,Conus,False,0,0,0,0
baseline_esm2,2,C7DQB9,propep,9,Conus,False,0,0,0,0
baseline_esm2,2,C7DQC0,pep,34,Conus,False,0,0,0,0
baseline_esm2,2,C7DQC0,propep,5,Conus,False,1,1,1,1
baseline_esm2,2,C7DQC1,pep,27,Conus,False,0,0,0,0
baseline_esm2,2,C7DQC1,propep,11,Conus,False,0,0,0,0
baseline_esm2,2,C7DQC2,pep,31,Conus,False,0,1,1,1
baseline_esm2,2,C7DQC2,propep,10,Conus,False,0,0,0,0
baseline_esm2,2,C7DQX6,pep,31,Conus,False,0,1,1,1
baseline_esm2,2,C7DQX6,propep,11,Conus,False,0,0,1,1
baseline_esm2,2,C7DQX8,pep,32,Conus,False,0,0,0,0
baseline_esm2,2,C7DQX8,propep,13,Conus,False,0,0,0,0
baseline_esm2,2,C7DQX9,pep,33,Conus,False,0,0,0,0
baseline_esm2,2,C7DQX9,propep,13,Conus,False,0,0,0,0
baseline_esm2,2,C7DQY0,pep,44,Conus,False,0,0,0,0
baseline_esm2,2,C7DQY0,propep,14,Conus,False,0,0,0,0
baseline_esm2,2,C7GQJ1,propep,23,Saccharomyces,False,1,1,1,1
baseline_esm2,2,C7LYP7,propep,50,Acidimicrobium,False,1,1,1,1
baseline_esm2,2,C7R403,propep,50,Jonesia,False,1,1,1,1
baseline_esm2,2,C9E1R9,propep,12,Crotalus,False,0,0,0,0
baseline_esm2,2,C9E1S1,propep,20,Agkistrodon,False,0,0,0,0
baseline_esm2,2,D1BHT9,propep,50,Sanguibacter,False,1,1,1,1
baseline_esm2,2,D2DGD3,pep,38,Conus,False,0,0,0,0
baseline_esm2,2,D2DGD3,propep,23,Conus,False,1,1,1,1
baseline_esm2,2,D2DGD8,pep,41,Conus,False,0,0,0,0
baseline_esm2,2,D2DGD8,propep,23,Conus,False,0,0,1,1
baseline_esm2,2,D2DGD9,pep,39,Conus,False,1,1,1,1
baseline_esm2,2,D2DGD9,propep,23,Conus,False,1,1,1,1
baseline_esm2,2,D2Y2C5,pep,34,Cyriopagopus,False,1,1,1,1
baseline_esm2,2,D2Y2C5,propep,24,Cyriopagopus,False,1,1,1,1
baseline_esm2,2,D2Y2C6,pep,34,Cyriopagopus,False,1,1,1,1
baseline_esm2,2,D2Y2C6,propep,24,Cyriopagopus,False,1,1,1,1
baseline_esm2,2,D2Y2C7,pep,34,Cyriopagopus,False,1,1,1,1
baseline_esm2,2,D2Y2C7,propep,24,Cyriopagopus,False,1,1,1,1
baseline_esm2,2,D2Y2C8,pep,34,Cyriopagopus,False,1,1,1,1
baseline_esm2,2,D2Y2C8,propep,24,Cyriopagopus,False,1,1,1,1
baseline_esm2,2,D2Y498,pep,27,Californiconus,True,1,1,1,1
baseline_esm2,2,D2Y4A0,pep,27,Californiconus,True,1,1,1,1
baseline_esm2,2,D2Y4A1,pep,27,Californiconus,True,1,1,1,1
baseline_esm2,2,D2Y4A2,pep,28,Californiconus,True,0,1,1,1
baseline_esm2,2,D3JWK3,pep,47,Californiconus,True,0,0,1,1
baseline_esm2,2,D3JWK4,pep,47,Californiconus,True,0,0,1,1
baseline_esm2,2,D3JWK5,pep,47,Californiconus,True,1,1,1,1
baseline_esm2,2,D3JWK6,pep,45,Californiconus,True,0,0,0,0
baseline_esm2,2,D4ATC3,propep,33,Arthroderma,False,0,1,1,1
baseline_esm2,2,D4HRK4,pep,16,Conus,False,0,1,1,1
baseline_esm2,2,D4HRK4,propep,24,Conus,False,1,1,1,1
baseline_esm2,2,D4HRK7,pep,14,Conus,True,0,0,0,0
baseline_esm2,2,D5KXG5,pep,35,Gemmula,False,0,0,0,0
baseline_esm2,2,D5KXG5,propep,14,Gemmula,False,0,0,0,0
baseline_esm2,2,D5LGE0,pep,11,Hyalomma,True,0,0,0,0
baseline_esm2,2,D5LGE0,pep,11,Hyalomma,True,0,0,0,0
baseline_esm2,2,D5LGE0,pep,11,Hyalomma,True,0,0,0,0
baseline_esm2,2,D5LGE0,propep,26,Hyalomma,True,0,0,0,0
baseline_esm2,2,D5LGE0,propep,31,Hyalomma,True,0,0,0,0
baseline_esm2,2,D6C4H5,pep,11,Californiconus,False,0,0,0,0
baseline_esm2,2,D6C4H5,propep,29,Californiconus,False,0,0,0,0
baseline_esm2,2,D6C4J4,pep,21,Californiconus,True,0,0,0,0
baseline_esm2,2,D6C4J4,propep,16,Californiconus,True,0,0,0,0
baseline_esm2,2,D6C4J8,pep,23,Californiconus,False,1,1,1,1
baseline_esm2,2,D6C4J8,propep,25,Californiconus,False,1,1,1,1
baseline_esm2,2,D6C4J8,propep,5,Californiconus,False,1,1,1,1
baseline_esm2,2,D6C4K5,pep,38,Californiconus,False,0,0,0,0
baseline_esm2,2,D6C4K5,propep,18,Californiconus,False,1,1,1,1
baseline_esm2,2,D9IWN6,pep,22,Conus,True,1,1,1,1
baseline_esm2,2,D9IWN6,propep,19,Conus,True,1,1,1,1
baseline_esm2,2,D9IWN7,pep,22,Conus,False,1,1,1,1
baseline_esm2,2,D9IWN7,propep,19,Conus,False,1,1,1,1
baseline_esm2,2,D9U2A7,propep,8,Lychas,False,0,0,0,0
baseline_esm2,2,E1ZVK3,pep,14,Camponotus,False,0,0,0,0
baseline_esm2,2,E1ZVK3,pep,11,Camponotus,False,0,0,1,1
baseline_esm2,2,E1ZVK3,pep,14,Camponotus,False,1,1,1,1
baseline_esm2,2,E1ZVK3,pep,9,Camponotus,False,1,1,1,1
baseline_esm2,2,E1ZVK3,propep,6,Camponotus,False,0,0,0,0
baseline_esm2,2,E2A6P1,pep,12,Camponotus,False,0,0,0,0
baseline_esm2,2,E2AJ76,pep,8,Camponotus,False,0,0,0,1
baseline_esm2,2,E2AJ76,propep,24,Camponotus,False,1,1,1,1
baseline_esm2,2,E2ARW3,pep,11,Camponotus,False,1,1,1,1
baseline_esm2,2,E2AX35,pep,12,Camponotus,False,0,0,0,0
baseline_esm2,2,E2AZE8,pep,31,Camponotus,False,0,0,0,1
baseline_esm2,2,E2AZE8,propep,40,Camponotus,False,1,1,1,1
baseline_esm2,2,E2AZE8,propep,5,Camponotus,False,1,1,1,1
baseline_esm2,2,E2DIH5,pep,16,Conus,False,0,1,1,1
baseline_esm2,2,E2DIH5,propep,25,Conus,False,0,0,0,0
baseline_esm2,2,E2DIH6,pep,16,Conus,False,0,0,1,1
baseline_esm2,2,E2DIH6,propep,22,Conus,False,0,1,1,1
baseline_esm2,2,E4VP07,pep,13,Mesobuthus,False,1,1,1,1
baseline_esm2,2,E4VP07,propep,31,Mesobuthus,False,1,1,1,1
baseline_esm2,2,E5D3Z8,propep,5,Loxosceles,False,0,0,0,1
baseline_esm2,2,E9NW26,propep,18,Protobothrops,False,0,0,0,0
baseline_esm2,2,E9NW27,propep,18,Protobothrops,False,0,0,0,0
baseline_esm2,2,F1CJ89,pep,10,Hottentotta,True,1,1,1,1
baseline_esm2,2,F1DFM9,propep,45,Pocillopora,False,0,0,1,1
baseline_esm2,2,F1NV61,propep,24,Gallus,True,0,0,0,0
baseline_esm2,2,F1NV61,propep,11,Gallus,True,0,0,1,1
baseline_esm2,2,F4I082,propep,24,Arabidopsis,False,1,1,1,1
baseline_esm2,2,F4JIG1,propep,27,Arabidopsis,False,1,1,1,1
baseline_esm2,2,F8S122,propep,8,Crotalus,False,0,0,0,0
baseline_esm2,2,G0R947,propep,32,Hypocrea,False,1,1,1,1
baseline_esm2,2,G0RUP7,propep,14,Hypocrea,False,1,1,1,1
baseline_esm2,2,H2CYR5,pep,13,Pandinus,False,1,1,1,1
baseline_esm2,2,H2CYR5,propep,29,Pandinus,False,1,1,1,1
baseline_esm2,2,H7C8I3,pep,20,Rhodococcus,False,0,0,1,1
baseline_esm2,2,H7C8I3,propep,26,Rhodococcus,False,0,0,1,1
baseline_esm2,2,I0DEB3,pep,13,Vaejovis,False,1,1,1,1
baseline_esm2,2,I0DEB3,propep,29,Vaejovis,False,1,1,1,1
baseline_esm2,2,I0DEB4,pep,13,Vaejovis,False,1,1,1,1
baseline_esm2,2,I0DEB4,propep,30,Vaejovis,False,1,1,1,1
baseline_esm2,2,I0DEB5,pep,13,Mesomexovis,False,1,1,1,1
baseline_esm2,2,I0DEB5,propep,29,Mesomexovis,False,1,1,1,1
baseline_esm2,2,I0DEB6,pep,13,Mesomexovis,False,1,1,1,1
baseline_esm2,2,I0DEB6,propep,29,Mesomexovis,False,1,1,1,1
