AC,cluster
A0A0F7YYV0,6
A0A0F7YZQ7,1
A0A0G2K7V7,3
A0A0H3H546,0
A0A0K1YW63,1
A0A0K8TUE2,0
A0A0N7KBN8,6
A0A0N9LWM6,0
A0A0P0UTI6,2
A0A0P0UTQ7,2
A0A0R4IKU3,2
A0A125S9D9,4
A0A125S9E1,2
A0A125S9E4,5
A0A125S9E9,0
A0A125S9F2,6
A0A125S9F3,6
A0A125S9F9,3
A0A125S9G2,2
A0A125S9G3,0
A0A139GI49,2
A0A141TBR6,1
A0A142C197,0
A0A142I730,6
A0A144LUY5,5
A0A144LVL3,5
A0A144LVM3,2
A0A146F0J0,0
A0A193H2X2,1
A0A193H327,1
A0A193H329,1
A0A193H356,1
A0A193H361,1
A0A193H362,1
A0A193H365,1
A0A193H395,1
A0A193H396,1
A0A193H397,1
A0A1B0GVD1,5
A0A1B7XV12,6
A0A1D0BN92,3
A0A1D0BR67,5
A0A1D0BRC1,0
A0A1D0BZF5,5
A0A1D0BZI2,3
A0A1D0C0W1,4
A0A1D3IXR7,0
A0A1D5PPP7,2
A0A1D5PUP4,2
A0A1E1WVR9,0
A0A1I9KNP0,3
A0A1I9LMX5,4
A0A1L2F565,4
A0A1L4BJ46,6
A0A1M4BLT1,1
A0A1P8NVU1,6
A0A1P8VFM2,5
A0A1Q3EPD6,3
A0A1R3S3A8,0
A0A1S3PBB7,1
A0A1S6EK91,2
A0A218QWY8,3
A0A219CM62,3
A0A219CMY0,3
A0A286LEZ8,3
A0A291NVT7,3
A0A2D1P890,0
A0A2I4QAG8,6
A0A2I6EDL2,0
A0A2I6EDL4,0
A0A2I6EDL5,0
A0A2I6EDL7,0
A0A2I6EDM1,0
A0A2I6EDM8,0
A0A2I6EDN0,0
A0A2I6EDN3,0
A0A2I6EDN8,0
A0A2I8B352,2
A0A2L1DGG0,1
A0A2L2DDD0,1
A0A2L2DDE6,1
A0A2L2P6T1,6
A0A2R2JFI5,3
A0A2U8JCR5,1
A0A2Y9GHM8,1
A0A2Z5Z9X0,3
A0A315,3
A0A318,2
A0A331,0
A0A345GPN1,3
A0A346CIA0,3
A0A346CIB2,3
A0A346CIB3,3
A0A348G5V8,2
A0A348G5V9,2
A0A348G5W0,2
A0A348G5W2,2
A0A348G6I7,2
A0A348G6I9,2
A0A348G6J1,2
A0A384E129,6
A0A384JN58,4
A0A384K116,5
A0A3G1VU73,3
A0A3G1VU77,3
A0A3G1VU78,3
A0A3G1VU81,3
A0A3G1VU84,3
A0A3G3C7R5,2
A0A3G3C7S0,2
A0A3G3C7S2,2
A0A3G3C7S9,2
A0A3G3C7T2,6
A0A3G3C7T9,3
A0A3G3C7U2,0
A0A3G3C7U4,2
A0A3G3C7U7,6
A0A3G3C7V0,2
A0A3G3C7V6,6
A0A3G3C7W0,4
A0A3G5BIB1,0
A0A3G5BIC2,1
A0A3G6IHA6,2
A0A3P8MJV5,4
A0A3S9V8K6,6
A0A3S9V8L9,6
A0A4P9I8G4,4
A0A4S8L4Q5,3
A0A4Y5X1A7,3
A0A4Y7TJF3,3
A0A5C1ZW08,5
A0A5C1ZXT8,5
A0A5C2A2T2,5
A0A5C3KU62,3
A0A5P9K461,1
A0A5P9K470,1
A0A5P9K5G4,1
A0A5P9K6A8,1
A0A5P9K9Z4,1
A0A5P9NYS6,1
A0A5Q0MU22,1
A0A5Q0MUM5,1
A0A5Q0MUT1,1
A0A679PF76,0
A0A6B7FA07,4
A0A6B7FBD3,4
A0A6B7FEJ3,4
A0A6B9L8Y4,5
A0A6B9L900,6
A0A6G9KHD1,2
A0A6G9KHD6,2
A0A6G9KHE4,2
A0A6G9KIR5,2
A0A6G9KJK9,2
A0A6G9KJV6,2
A0A6M3Z4D9,2
A0A6M3Z4E7,0
A0A6M3Z4L2,0
A0A6M3Z4R1,2
A0A6M3Z4R4,2
A0A6M3Z541,4
A0A6M3Z554,1
A0A6M6R9M4,4
A0A6M6RE84,4
A0A7J6KDB0,4
A0A7M6UNN1,0
A0A8J9SEV3,6
A0A8U0LTF0,2
A0A8U0LTY4,2
A0A976XKR0,2
A0AAD6J456,0
A0AEI5,1
A0AEI6,1
A0AIY9,5
A0B5B1,3
A0C767,0
A0FKN6,6
A0JMK6,0
A0JNL5,6
A0JNQ7,1
A0MLS4,4
A0NDK8,0
A0Q1T6,5
A0RJ49,5
A0RXV1,3
A0RZB4,5
A0S864,3
A0S865,3
A0SE59,2
A0SE60,2
A0SIF1,1
A0SIX6,1
A0SN38,1
A0SN42,1
A0SN45,1
A0SPI0,3
A0T099,2
A0T0G9,3
A0T0S8,2
A0T0W2,3
A0ZT93,5
A0ZZ15,3
A0ZZ18,2
A1A4K5,0
A1CBR4,0
A1CD22,1
A1CIV8,6
A1DAQ2,6
A1DBP9,0
A1DHY9,0
A1DJ47,1
A1E9Q4,3
A1E9Q7,2
A1E9R0,0
A1E9Y8,3
A1E9Z1,2
A1E9Z4,0
A1EC31,5
A1JKC3,5
A1KXI1,3
A1L453,3
A1R6Q7,2
A1RWY6,3
A1RX71,3
A1SK13,2
A1X8B8,2
A1X8B9,2
A1X8C2,2
A1X8C3,2
A1X8C6,2
A1X8D0,2
A1X8D8,2
A1X8D9,2
A1XFV1,0
A1XQU1,1
A1Z0M0,0
A1ZB63,1
A1ZB64,1
A2A5I3,1
A2BDG0,5
A2BDG5,5
A2BDG9,5
A2BN24,3
A2BN27,3
A2BP21,3
A2BP71,2
A2BUK1,3
A2BUQ3,2
A2C057,3
A2C0A5,2
A2CCL2,2
A2D4U1,6
A2D670,6
A2QAH3,6
A2QBB6,6
A2QBQ3,0
A2QCV8,6
A2QH21,1
A2QL39,6
A2QTS4,3
A2QYT9,3
A2R3L3,0
A2R5S4,6
A2R8F8,6
A2RLA2,5
A2T309,3
A2T329,0
A2T6K4,6
A2V9Z4,3
A2VDL6,6
A2VE33,5
A2XHZ9,5
A2YFB4,4
A2ZBG5,5
A2ZC67,1
A3CUS9,3
A3DBS4,5
A3DN21,3
A3DN27,3
A3DT44,2
A3F7X1,3
A3F7X2,5
A3GFU8,6
A3MXQ6,3
A3PAU3,3
A3PAZ3,2
A4FYA5,3
A4GGA1,0
A4GYN9,3
A4GYQ5,0
A4H220,3
A4H221,3
A4H223,3
A4LA70,6
A4QJ96,3
A4QJI0,3
A4QJJ5,0
A4QJR4,3
A4QJS9,0
A4QK14,0
A4QK85,3
A4QKA1,0
A4QKI8,0
A4QKR1,3
A4QKS7,0
A4QL15,0
A4QL86,3
A4QLA2,0
A4QLH5,3
A4QLJ0,0
A4QLR3,3
A4QLS9,0
A4TL44,5
A4USB4,2
A4VUF9,5
A4W0Q0,5
A4WMZ0,3
A4X3P0,2
A4XJS7,5
A4YJ04,3
A5A3H2,1
A5A3H3,1
A5A3H4,1
A5A3H5,1
A5A6H8,3
A5A6J6,5
A5A6K7,4
A5A6M2,0
A5A6P7,5
A5A752,5
A5A8K9,3
A5DWI6,6
A5GIE8,2
A5GJU5,3
A5GTY4,3
A5GTY5,3
A5GWF4,2
A5H1G9,3
A5I667,5
A5IS17,0
A5ITG9,5
A5LHG2,5
A5LHX3,2
A5N6K1,5
A5UM14,3
A5VKS3,5
A6BM07,5
A6BM28,3
A6BM30,0
A6H4Q8,1
A6H5E4,3
A6H5G7,0
A6L3B5,3
A6LHQ6,4
A6LHQ9,2
A6LQR8,5
A6M934,2
A6M938,2
A6MFK7,2
A6MFK8,2
A6MFK9,5
A6MM16,3
A6MM32,0
A6MMA2,3
A6MMB8,0
A6MMI8,3
A6MMK3,0
A6MMS4,3
A6MMU0,0
A6MWS9,0
A6MWT0,0
A6N6J0,3
A6NCE7,6
A6ND01,3
A6P331,2
A6P3B2,5
A6QG32,0
A6QHI7,5
A6QPN6,1
A6RPU4,6
A6U0U8,0
A6U2B3,5
A6USJ3,3
A6UT20,3
A6VK02,3
A6XN32,5
A6YB85,0
A6YF56,3
A6YR20,6
A6YR21,6
A6YR42,6
A6YRN9,2
A6ZL22,2
A6ZQH2,6
A6ZQH4,6
A6ZSH9,4
A6ZY20,2
A6ZZG0,6
A6ZZG1,6
A6ZZH2,4
A7E8H4,6
A7FFL9,5
A7FXU7,5
A7GHK3,5
A7GT16,2
A7GTC2,5
A7I841,3
A7KE01,3
A7KII6,3
A7LAC6,3
A7LAC7,3
A7LCJ2,6
A7LI91,6
A7LI92,6
A7M4E1,3
A7M8Y6,3
A7M8Z7,0
A7M962,0
A7RMN1,5
A7SCE5,6
A7SRR3,2
A7TLD4,4
A7UDM9,6
A7UKV5,0
A7WNV3,1
A7WNV4,1
A7WNV5,1
A7WNV6,1
A7WNV7,1
A7X149,0
A7X362,5
A7X3S0,3
A7X3V0,3
A7Y395,3
A7YY44,6
A7Z070,3
A7Z6W8,2
A7Z783,5
A8AA46,3
A8AWF9,5
A8B5P0,1
A8B5P7,1
A8B5Q0,1
A8CL69,3
A8D888,5
A8DS38,1
A8DY01,1
A8FFD9,2
A8FFT0,5
A8G2T2,2
A8G5N5,3
A8M8R5,3
A8Q7G1,0
A8QL53,3
A8QL57,3
A8S6B3,3
A8SE40,3
A8W3A5,3
A8W3C0,0
A8W3H2,3
A8W3I3,0
A8W7M4,1
A8W7M6,1
A8W7M7,1
A8W7M9,1
A8W7N0,1
A8W7N1,1
A8W7N2,1
A8W7N3,1
A8W7N5,1
A8W7N6,1
A8W7N7,1
A8W7N8,1
A8W7N9,1
A8W7P0,1
A8W7P1,1
A8W7P2,1
A8W7P3,1
A8WTF8,3
A8WU84,5
A8Y7N7,4
A8Y7N8,4
A8Y7N9,4
A8Y9F6,0
A8YPR9,6
A8Z1R1,0
A8Z2H3,5
A9A2U7,3
A9A788,3
A9KMF6,5
A9L976,3
A9L992,0
A9LYI1,0
A9P3S1,1
A9R3T6,5
A9UGV5,1
A9UGV6,1
A9VHU8,2
A9VIR7,5
A9XDG0,2
A9XDG1,2
A9XDG2,2
A9XDG3,2
A9XFZ7,0
B0BK71,2
B0BK72,2
B0BND0,5
B0CB14,3
B0CPC6,4
B0FYL5,1
B0I1T2,4
B0JIS8,3
B0JSW8,2
B0K416,5
B0KAC0,5
B0L0Y5,0
B0L0Y6,3
B0R2U4,4
B0R4C8,3
B0TBW5,5
B0VXV8,6
B0XPA1,6
B0XT09,2
B0XT72,2
B0XTU6,0
B0XVI5,2
B0XXF8,1
B0XZV8,5
B0Y4Z4,6
B0Y665,5
B0Y8H9,2
B0YAH0,6
B0YPN1,3
B0Z4K6,3
B0Z4U0,3
B0Z4V5,0
B0Z524,3
B0Z539,0
B0Z5A8,3
B0ZE70,6
B0ZT25,3
B1A931,0
B1AIJ8,5
B1AVD1,1
B1B213,1
B1B5I9,6
B1B5J0,0
B1B6T1,5
B1IBP4,5
B1ILY6,5
B1IQZ3,5
B1JR58,5
B1KZR4,5
B1L6S7,3
B1NRQ8,1
B1NRQ9,1
B1NRR0,1
B1NRR1,1
B1NRR2,1
B1NRR3,1
B1NWD0,3
B1NWR7,6
B1NWS1,6
B1NWS4,6
B1NWT3,6
B1NWT4,6
B1NWT5,6
B1NWT7,6
B1NWU2,6
B1NWU3,6
B1NWU4,6
B1NWU5,6
B1NWU6,6
B1P1A2,5
B1P1A4,5
B1P1A6,6
B1P1A7,6
B1P1A9,6
B1P1B3,0
B1P1B6,5
B1P1B7,5
B1P1B8,5
B1P1B9,5
B1P1C2,5
B1P1C6,5
B1P1C7,5
B1P1C8,5
B1P1D7,5
B1P1D8,5
B1P1D9,5
B1P1E0,5
B1P1E1,5
B1P1E2,5
B1P1E3,5
B1P1E4,5
B1P1E5,5
B1P1E6,5
B1P1E7,5
B1P1E8,5
B1P1F1,5
B1P1F3,5
B1P1F4,5
B1P1F5,5
B1P1F6,5
B1P1F7,5
B1P1F8,5
B1P1F9,5
B1P1G0,5
B1P1G1,5
B1P1G2,5
B1P1G3,5
B1P1G4,5
B1P1G5,5
B1P1G6,5
B1P1H0,5
B1P1H1,5
B1P1H2,5
B1P1H5,2
B1P1H7,3
B1P1H9,5
B1P1I1,5
B1P1I2,5
B1P1I3,5
B1P1I4,5
B1P1I5,5
B1P1I6,5
B1P1J4,3
B1PZN6,0
B1VAF3,5
B1VKF9,3
B1VKG9,0
B1WUL2,2
B1XF62,5
B1XIP3,3
B1XM24,3
B1XMN4,2
B1YDJ0,3
B1YJS1,5
B2A6B5,5
B2CI27,0
B2CI28,0
B2CJ57,2
B2CJ87,0
B2G856,5
B2GD71,5
B2IQ02,5
B2J4T9,2
B2KAB7,5
B2KKR4,1
B2KKV6,2
B2KKV7,2
B2KKV8,2
B2KKW0,2
B2KPN7,0
B2LMI9,0
B2MW54,5
B2RH54,2
B2RH57,5
B2RH58,2
B2RH59,6
B2RHG1,0
B2RHG3,1
B2TK69,5
B2V0A7,5
B2XWK1,0
B2Y1W5,2
B2ZB95,5
B2ZB96,5
B2ZB98,5
B2ZB99,5
B2ZBA0,5
B2ZBA1,5
B2ZBB6,4
B2ZBB8,4
B2ZBB9,4
B2ZBC0,4
B3A0N7,0
B3EWF2,0
B3EWF3,0
B3EWF4,0
B3EWF6,0
B3EWG0,6
B3EWH5,1
B3EWH6,1
B3EWL1,0
B3EWL9,0
B3EWM1,4
B3EWM3,5
B3EWR6,1
B3EWS6,0
B3EWS7,0
B3EWS8,0
B3EWS9,2
B3EWT0,0
B3EWY4,6
B3F0J0,6
B3FIA6,0
B3FIN4,5
B3FIQ7,3
B3FIS2,5
B3FIS3,5
B3FIS4,5
B3FIV1,3
B3GS44,6
B3H587,5
B3H5A9,2
B3H5J1,6
B3H5Q2,5
B3H7I1,1
B3IUD8,6
B3IUE0,6
B3IWF7,4
B3IWF8,4
B3IWF9,4
B3KYH4,1
B3KYH5,1
B3KYH6,1
B3LPD6,4
B3LQU0,6
B3LQU1,6
B3LVG7,6
B3MFC2,6
B3NSF6,6
B3QZT2,5
B3SP85,1
B3SVF1,0
B3V0K8,0
B3VZU0,1
B3VZU1,1
B3VZU2,1
B3VZU3,1
B3VZU4,1
B3VZU5,1
B3VZU6,1
B4GAN3,6
B4HNI3,6
B4J8Z9,6
B4LQ44,6
B4MQJ1,6
B4P641,6
B4QBL6,6
B4THR7,5
B5A5T4,6
B5A9T0,1
B5A9T1,1
B5E022,6
B5E4L9,5
B5G6G5,2
B5IEE5,3
B5LUQ3,1
B5LUQ4,1
B5LUQ5,1
B5LUQ6,1
B5LUQ7,1
B5LUQ8,1
B5LUQ9,1
B5LUR0,1
B5LUR1,1
B5MFD0,6
B5SY89,1
B5VE42,2
B5VL25,6
B5VL27,6
B5ZB18,5
B6CPR5,1
B6D434,2
B6DCJ0,0
B6DCJ1,0
B6DCJ3,0
B6DCJ4,0
B6DCJ5,0
B6DCJ6,0
B6DCJ7,0
B6DCJ9,0
B6DCK0,0
B6DCK1,0
B6DCK2,0
B6DCK4,0
B6DCK5,0
B6DCK6,0
B6DCK8,0
B6DCK9,0
B6DCL1,0
B6DCL2,0
B6DCL4,0
B6DCL5,0
B6DCL6,0
B6DCL7,0
B6DCL9,0
B6DCM0,0
B6DCM1,0
B6DCM2,0
B6DCM3,0
B6DCM4,0
B6DCM5,0
B6DCM6,0
B6DCM7,0
B6DCM9,0
B6DCN0,0
B6DCN1,0
B6DCN2,0
B6DCN3,0
B6DCN4,0
B6DCN5,0
B6DCN6,0
B6DCN7,0
B6DCN8,0
B6DCN9,0
B6DCP0,0
B6DCP1,0
B6DCP2,0
B6DCP4,0
B6DCP6,0
B6DCP7,0
B6DCQ1,0
B6DCQ2,0
B6DCQ3,0
B6DCQ4,0
B6DCQ6,0
B6DCQ7,0
B6DCQ8,0
B6DCQ9,0
B6DCR1,0
B6DCR2,0
B6DCR3,0
B6DCR4,0
B6DCR5,0
B6DCR6,0
B6DCR7,0
B6DCR8,0
B6DCS0,0
B6DCS1,0
B6DCS2,0
B6DCS3,0
B6DCS4,0
B6DCS5,0
B6DCS6,0
B6DCS8,0
B6DCT0,0
B6DCT1,0
B6DCT2,0
B6DCT3,0
B6DCT4,0
B6DCT5,0
B6DCT6,0
B6DCT7,0
B6DCT8,0
B6DCU2,0
B6DCU3,0
B6DCU4,0
B6DCU5,0
B6DCU6,0
B6DCU7,0
B6DCU8,0
B6DCU9,0
B6DCX5,4
B6DCX6,4
B6DCX7,4
B6DCX8,4
B6DCY0,4
B6DCY2,4
B6DCY3,4
B6DCY5,4
B6DCY6,4
B6DCY7,4
B6DCY8,4
B6DCY9,4
B6DCZ0,4
B6DCZ1,4
B6DCZ2,4
B6DCZ3,4
B6DCZ4,4
B6DCZ5,4
B6DCZ8,4
B6DCZ9,4
B6DD00,4
B6DD01,4
B6DD02,4
B6DD03,4
B6DD04,4
B6DD05,4
B6DD06,4
B6DD07,4
B6DD08,4
B6DD10,4
B6DD11,4
B6DD19,1
B6DD20,1
B6DD21,1
B6DD22,1
B6DD23,1
B6DD24,1
B6DD25,1
B6DD26,1
B6DD27,1
B6DD28,1
B6DD29,3
B6DD30,3
B6DD31,3
B6DD32,3
B6DD52,1
B6DD53,1
B6DD54,1
B6DD56,1
B6DD57,1
B6DD58,1
B6DD59,5
B6DT16,2
B6EWW8,4
B6GXZ8,0
B6HY14,1
B6HY15,1
B6HY16,1
B6IB31,5
B6K9M7,2
B6KAM0,2
B6S2X0,2
B6S2X2,2
B6ULW4,0
B6ULW5,0
B6ULW6,0
B6ULW7,0
B6V867,0
B6YSW2,3
B6YXV3,3
B7G6D3,6
B7GIR0,5
B7HCU7,2
B7HE75,5
B7HPM0,2
B7HQK0,5
B7IIV4,5
B7IYH4,2
B7JNV3,2
B7JQ28,5
B7JVQ3,2
B7K989,2
B7L5E9,5
B7LZY9,5
B7M9V0,5
B7MV44,5
B7NB47,5
B7NUP2,5
B7URT6,5
B8D673,3
B8D683,3
B8DHK8,5
B8FUS1,5
B8GG66,3
B8H8L6,2
B8HTR1,2
B8I178,5
B8JLQ9,2
B8K1V9,5
B8N7S7,0
B8N7Z8,6
B8N8M2,6
B8NCQ5,0
B8QG00,1
B8XH40,2
B8XH50,2
B8ZPV1,5
B9DNE8,5
B9DU56,5
B9E020,5
B9ENM6,5
B9IY88,2
B9IZ18,5
B9LTS6,3
B9MRB7,5
B9TQX1,5
B9TQX2,5
B9TQX3,5
B9TQX4,5
B9U443,1
B9UIY3,0
B9W4V6,1
C0H690,4
C0H694,0
C0HJF6,1
C0HJI1,3
C0HJI2,3
C0HJI3,3
C0HJI4,3
C0HJI5,3
C0HJI6,3
C0HJI7,3
C0HJI8,3
C0HJK2,5
C0HJK4,5
C0HJT9,3
C0HJU0,3
C0HJV6,2
C0HJV7,2
C0HJV8,2
C0HJZ6,1
C0HJZ7,1
C0HJZ8,1
C0HJZ9,1
C0HK00,1
C0HK01,1
C0HK02,1
C0HK03,1
C0HK26,4
C0HK27,5
C0HK57,1
C0HKA3,3
C0HKA4,3
C0HKA5,3
C0HKA6,3
C0HKA8,4
C0HKA9,4
C0HKF6,2
C0HKF7,3
C0HKF8,3
C0HKG0,4
C0HKG1,4
C0HKG7,0
C0HKG8,0
C0HKG9,0
C0HKR1,6
C0HKR2,1
C0HKS1,2
C0HKS3,5
C0HKS5,5
C0HKS6,6
C0HKT1,0
C0HKT2,2
C0HKT3,2
C0HKT4,6
C0HKT5,6
C0HKT6,6
C0HKU0,6
C0HKU1,1
C0HKU2,5
C0HKV8,6
C0HKV9,3
C0HKW2,4
C0HKW7,1
C0HKX3,1
C0HKX4,1
C0HKX8,1
C0HKY0,1
C0HKY1,2
C0HKY6,0
C0HL17,5
C0HL58,0
C0HL59,0
C0HL91,6
C0HL92,6
C0HLG4,0
C0HLS4,6
C0HLZ9,1
C0HM00,1
C0HM54,1
C0HM68,6
C0HMD4,4
C0K3N1,3
C0KYC3,2
C0KYC4,2
C0KYC5,2
C0KYC6,2
C0L2T8,2
C0LRA7,4
C0M7I0,5
C0ME76,5
C0P381,4
C0XTM5,6
C1BJ98,5
C1C7A1,5
C1CE94,5
C1CKH0,5
C1CRK7,5
C1ESL5,2
C1ETN9,5
C1FVW6,5
C1IBZ3,4
C1IC04,4
C1JAR9,6
C1KVI7,5
C3L3J4,5
C3L5S4,2
C3L6X4,5
C3MQ16,3
C3MRE5,3
C3MVD5,3
C3MY41,3
C3MZI0,3
C3N5N4,3
C3N7K2,3
C3NE98,3
C3NFX2,3
C3NHF1,3
C3P8M7,2
C3P9C8,5
C3RT17,1
C3RT18,1
C3RT22,1
C3RT23,1
C3RT24,1
C3TS04,6
C3TS06,6
C3TS08,6
C3VVN5,0
C3VVN6,0
C3Z6E6,1
C4B4E4,6
C4KHB0,3
C4KIR0,3
C4L4N3,5
C4N9P6,1
C4PRC1,4
C4PWC4,0
C4YMJ3,5
C4YNQ5,5
C4YSF6,5
C4Z9Z8,5
C4ZY59,5
C5A2D5,3
C5A7L1,3
C5BVA2,2
C5D4U8,2
C5D5G7,5
C5FBS2,0
C5FEK4,1
C5FGX1,0
C5FRQ0,3
C5FW30,0
C5H0C7,1
C5H0C8,1
C5H0D4,1
C5H0D5,1
C5H0D6,1
C5H0D7,1
C5H0D8,1
C5H0D9,1
C5H0E0,1
C5H0E1,1
C5H0E2,1
C5IB03,1
C5J886,2
C5J887,2
C5J888,0
C5J893,4
C5J8E3,1
C5NSL2,3
C6A2V9,3
C6A3R1,3
C6EVG1,4
C6EVG2,4
C6EVG7,5
C6FX52,2
C6KSX0,2
C6Y4B5,5
C6ZDB5,3
C6ZJQ2,2
C7B247,0
C7C1L2,0
C7DQB9,2
C7DQC0,2
C7DQC1,2
C7DQC2,2
C7DQX6,2
C7DQX8,2
C7DQX9,2
C7DQY0,2
C7GQJ1,2
C7GS61,4
C7LYP7,2
C7NQ99,3
C7NVQ4,3
C7P6N4,3
C7R403,2
C7T184,6
C7T186,6
C7T188,6
C7T1P5,6
C8CK76,6
C8CK77,6
C8CK78,6
C8CK79,6
C8ZGM3,4
C9D7R2,6
C9D7R3,6
C9E1R9,2
C9E1S1,2
C9E1S2,1
C9EIC7,3
C9K4X8,1
C9REN7,3
D0EM77,0
D0KRX1,3
D0KTH0,3
D0PX84,5
D0PX85,5
D0VX09,6
D1BHT9,2
D1FNJ7,1
D1MEI7,3
D1MEJ0,3
D1MEJ1,3
D1MEJ2,4
D1Z199,3
D2DGD3,2
D2DGD8,2
D2DGD9,2
D2IT41,3
D2KX90,6
D2KX91,6
D2KX92,6
D2PDG6,3
D2PK63,3
D2RGT4,3
D2RQX3,3
D2RUI0,3
D2WKD8,6
D2XUU4,1
D2XUU5,1
D2XUU6,1
D2XUU8,1
D2XUU9,1
D2XUV0,1
D2XUV1,1
D2Y100,6
D2Y102,6
D2Y169,3
D2Y170,3
D2Y1X9,5
D2Y1Y0,5
D2Y1Y1,5
D2Y1Y2,5
D2Y1Y3,5
D2Y1Y4,5
D2Y1Y5,5
D2Y1Y6,5
D2Y1Y7,5
D2Y1Y8,5
D2Y1Y9,5
D2Y1Z0,5
D2Y1Z2,5
D2Y1Z4,5
D2Y1Z5,5
D2Y1Z6,5
D2Y1Z7,5
D2Y1Z8,5
D2Y1Z9,5
D2Y200,5
D2Y201,5
D2Y202,5
D2Y203,5
D2Y204,6
D2Y205,6
D2Y209,6
D2Y210,6
D2Y211,6
D2Y212,6
D2Y213,6
D2Y214,6
D2Y215,6
D2Y216,6
D2Y217,6
D2Y218,6
D2Y219,6
D2Y221,6
D2Y222,6
D2Y223,6
D2Y224,6
D2Y225,6
D2Y227,6
D2Y228,6
D2Y229,6
D2Y230,6
D2Y231,6
D2Y232,5
D2Y233,5
D2Y236,5
D2Y237,5
D2Y238,5
D2Y239,5
D2Y240,5
D2Y241,5
D2Y242,5
D2Y243,5
D2Y244,5
D2Y245,5
D2Y246,5
D2Y247,5
D2Y248,5
D2Y249,5
D2Y250,5
D2Y251,5
D2Y252,5
D2Y253,3
D2Y254,3
D2Y255,3
D2Y256,3
D2Y257,3
D2Y258,3
D2Y259,3
D2Y260,3
D2Y261,3
D2Y262,3
D2Y263,3
D2Y265,3
D2Y266,3
D2Y267,3
D2Y269,3
D2Y270,3
D2Y271,3
D2Y273,3
D2Y274,3
D2Y275,3
D2Y276,3
D2Y277,3
D2Y278,3
D2Y279,3
D2Y280,3
D2Y281,3
D2Y283,3
D2Y284,3
D2Y285,3
D2Y286,3
D2Y287,3
D2Y289,3
D2Y290,3
D2Y291,3
D2Y292,3
D2Y293,3
D2Y295,3
D2Y296,3
D2Y297,3
D2Y298,3
D2Y299,3
D2Y2A0,5
D2Y2A1,5
D2Y2A2,5
D2Y2A3,5
D2Y2A4,5
D2Y2A5,5
D2Y2A6,5
D2Y2A7,5
D2Y2A8,5
D2Y2A9,5
D2Y2B0,5
D2Y2B1,5
D2Y2B2,5
D2Y2B3,5
D2Y2B4,5
D2Y2B5,5
D2Y2B6,5
D2Y2B7,5
D2Y2B8,5
D2Y2B9,5
D2Y2C1,5
D2Y2C2,4
D2Y2C4,0
D2Y2C5,2
D2Y2C6,2
D2Y2C7,2
D2Y2C8,2
D2Y2D2,5
D2Y2D4,6
D2Y2D5,6
D2Y2D6,6
D2Y2D7,5
D2Y2D8,5
D2Y2D9,5
D2Y2E8,5
D2Y2E9,5
D2Y2F0,5
D2Y2F1,5
D2Y2F3,4
D2Y2F5,4
D2Y2F6,4
D2Y2F7,4
D2Y2F8,4
D2Y2F9,4
D2Y2G1,4
D2Y2G2,4
D2Y2G3,5
D2Y2G4,5
D2Y2G5,5
D2Y2G6,5
D2Y2G7,5
D2Y2G8,5
D2Y2G9,5
D2Y2H1,5
D2Y2H2,5
D2Y2H3,5
D2Y2H4,5
D2Y2H5,5
D2Y2H6,5
D2Y2H7,5
D2Y2H8,5
D2Y2I0,3
D2Y2I1,3
D2Y2I2,3
D2Y2I3,5
D2Y2I5,5
D2Y2I6,5
