protein_id,motif_cluster
A0A1D5PPP7,7
A0A1D5PUP4,2
A0A1E1WVR9,11
A0A1I9KNP0,16
A0A1I9LMX5,29
A0A1L2F565,24
A0A1L2FZD4,40
A0A1L4BJ42,46
A0A1L4BJ46,40
A0A1M4BLT1,15
A0A1P8NVR4,39
A0A1P8NVR5,39
A0A1P8NVS2,39
A0A1P8NVS3,39
A0A1P8NVS8,39
A0A1P8NVS9,39
A0A1P8NVT3,39
A0A1P8NVU0,39
A0A1P8NVU1,39
A0A1P8VFM2,11
A0A1Q3EPD6,11
A0A1R3S3A8,34
A0A1S3PBB7,34
A0A1S6EK91,40
A0A1S6EK92,40
A0A1X9QHL1,31
A0A218QWY8,34
A0A219CM62,13
A0A219CMY0,13
A0A286LEZ8,33
A0A291NVT7,18
A0A2D1P890,48
A0A2I4QAG8,49
A0A2I6EDL2,40
A0A2I6EDL3,40
A0A2I6EDL4,47
A0A2I6EDL5,48
A0A2I6EDL6,15
A0A2I6EDL7,15
A0A2I6EDM1,40
A0A2I6EDM2,39
A0A2I6EDM5,48
A0A2I6EDM8,48
A0A2I6EDM9,40
A0A2I6EDN0,34
A0A2I6EDN1,46
A0A2I6EDN2,40
A0A2I6EDN3,40
A0A2I6EDN5,39
A0A2I6EDN8,34
A0A2I8B346,39
A0A2I8B352,39
A0A2L1DGG0,39
A0A2L2DDD0,8
A0A2L2DDE6,8
A0A2L2P6T1,13
A0A2L2P6T9,12
A0A2R2JFI5,11
A0A2U8JCR5,13
A0A2Y9GHM8,17
A0A2Z5Z9H5,49
A0A2Z5Z9X0,49
A0A315,32
A0A318,7
A0A330KUG5,14
A0A330KW27,14
A0A331,7
A0A345GPN1,49
A0A346CED7,12
A0A346CIA0,49
A0A346CIB2,49
A0A346CIB3,49
A0A348G5V8,25
A0A348G5V9,39
A0A348G5W0,11
A0A348G5W1,35
A0A348G5W2,13
A0A348G6I7,13
A0A348G6I9,11
A0A348G6J0,25
A0A348G6J1,34
A0A384E129,12
A0A384J6C4,2
A0A384JN58,2
A0A384K116,2
A0A3G1VU73,48
A0A3G1VU77,48
A0A3G1VU78,48
A0A3G1VU81,48
A0A3G1VU84,40
A0A3G3C7R5,34
A0A3G3C7S0,39
A0A3G3C7S2,40
A0A3G3C7S9,39
A0A3G3C7T2,34
A0A3G3C7T5,39
A0A3G3C7T9,40
A0A3G3C7U1,40
A0A3G3C7U2,39
A0A3G3C7U4,40
A0A3G3C7U7,14
A0A3G3C7U9,15
A0A3G3C7V0,39
A0A3G3C7V6,13
A0A3G3C7V7,39
A0A3G3C7W0,12
A0A3G5BIB1,31
A0A3G5BIB4,49
A0A3G5BIC2,49
A0A3G6IHA6,40
A0A3P8MJV5,49
A0A3S9V8K6,34
A0A3S9V8L7,28
A0A3S9V8L9,15
A0A4P8XV20,34
A0A4P9I8G4,2
A0A4S8L4Q5,11
A0A4Y5X186,18
A0A4Y5X1A7,34
A0A4Y7TJF3,40
A0A5C1ZW08,34
A0A5C1ZXT8,34
A0A5C2A2T2,34
A0A5C3KU62,40
A0A5P9K461,15
A0A5P9K470,13
A0A5P9K5G4,25
A0A5P9K6A8,13
A0A5P9K9Z4,13
A0A5P9NYS6,13
A0A5Q0MU22,15
A0A5Q0MUM5,40
A0A5Q0MUT1,40
A0A679PF76,39
A0A6B7FA07,34
A0A6B7FBD3,49
A0A6B7FEJ3,34
A0A6B9L8Y4,40
A0A6B9L900,25
A0A6G9KHD1,40
A0A6G9KHD3,34
A0A6G9KHD6,15
A0A6G9KHE4,39
A0A6G9KIR5,40
A0A6G9KIT6,39
A0A6G9KJK9,15
A0A6G9KJV6,25
A0A6M3Z4D9,11
A0A6M3Z4E7,39
A0A6M3Z4L2,39
A0A6M3Z4R1,39
A0A6M3Z4R4,34
A0A6M3Z541,34
A0A6M3Z554,40
A0A6M3Z9I6,40
A0A6M6R9M4,39
A0A6M6RE84,39
A0A7J6KDB0,46
A0A7M6UNN1,46
A0A8J9SEV3,29
A0A8U0LTF0,39
A0A8U0LTF5,39
A0A8U0LTY4,39
A0A976XKR0,49
A0AAD6J456,2
A0AEI5,25
A0AEI6,25
A0AIY9,44
A0B5B1,21
A0C767,34
A0FKN6,3
A0JMK6,41
A0JNL5,33
A0JNQ7,31
A0MLS4,28
A0NDK8,4
A0Q1T6,44
A0RJ49,44
A0RXV1,21
A0RZB4,33
A0S864,49
A0S865,49
A0SE59,34
A0SE60,13
A0SIF1,23
A0SIX6,23
A0SN38,25
A0SN42,25
A0SN45,13
A0SPI0,34
A0SPI1,13
A0T099,7
A0T0G9,32
A0T0S8,7
A0T0W2,32
A0ZT93,49
A0ZZ15,32
A0ZZ18,7
A1A4K5,46
A1C7B5,2
A1CBR4,31
A1CD22,2
A1CIV8,31
A1CVV8,31
A1D145,31
A1DAQ2,31
A1DBP9,31
A1DDK1,31
A1DHY9,2
A1DJ47,2
A1E9Q4,32
A1E9Q7,7
A1E9R0,7
A1E9Y8,32
A1E9Z1,7
A1E9Z4,7
A1EC31,11
A1JKC3,3
A1KXI1,16
A1L453,16
A1R6Q7,21
A1RSJ8,21
A1RWY6,21
A1RX71,21
A1SK13,21
A1X8B6,34
A1X8B8,40
A1X8B9,40
A1X8C2,40
A1X8C3,40
A1X8C6,40
A1X8D0,34
A1X8D1,39
A1X8D6,40
A1X8D8,34
A1X8D9,40
A1XFV1,7
A1XQU1,21
A1Z0M0,17
A1ZB63,40
A1ZB64,40
A2A5I3,1
A2BDG0,11
A2BDG5,2
A2BDG9,2
A2BN24,21
A2BN27,21
A2BP21,32
A2BP71,7
A2BUK1,32
A2BUQ3,7
A2C057,32
A2C0A5,7
A2C6Q1,32
A2CCL2,7
A2D4U1,46
A2D670,46
A2QAH3,31
A2QBB6,31
A2QBQ3,2
A2QCV8,31
A2QH21,2
A2QL39,31
A2QTS4,2
A2QYT9,2
A2R3L3,31
A2R5S4,31
A2R8F8,31
A2RLA2,44
A2SS78,21
A2T309,32
A2T329,7
A2T6K4,46
A2V9Z4,49
A2VDL6,7
A2VDN0,48
A2VE33,2
A2XHZ9,2
A2YFB4,11
A2ZBG5,11
A2ZC67,17
A3BEP8,2
A3CUS9,21
A3DBS4,44
A3DN21,21
A3DN27,21
A3DT44,39
A3F7X1,37
A3F7X2,49
A3GFU8,11
A3MXQ6,21
A3PAU3,32
A3PAZ3,7
A4FYA5,21
A4GGA1,7
A4GYN9,32
A4GYQ5,7
A4H220,17
A4H221,17
A4H222,17
A4H223,46
A4LA70,11
A4QJ96,32
A4QJB1,7
A4QJI0,32
A4QJJ5,7
A4QJR4,32
A4QJS9,7
A4QJZ9,32
A4QK14,7
A4QK85,32
A4QKA1,7
A4QKH2,32
A4QKI8,7
A4QKR1,32
A4QKS7,7
A4QL00,32
A4QL15,7
A4QL86,32
A4QLA2,7
A4QLH5,32
A4QLJ0,7
A4QLR3,32
A4QLS9,7
A4TL44,3
A4USB4,49
A4VUF9,44
A4W0Q0,44
A4WMZ0,21
A4X3P0,21
A4XJS7,44
A4YIE0,21
A4YJ04,21
A5A3H1,12
A5A3H2,12
A5A3H3,12
A5A3H4,12
A5A3H5,12
A5A6H8,48
A5A6J6,48
A5A6K7,46
A5A6M2,47
A5A6P7,2
A5A752,13
A5A8K9,32
A5DWI6,11
A5GIE8,7
A5GIM7,32
A5GJU5,32
A5GTY4,32
A5GTY5,32
A5GWF4,7
A5H1G9,7
A5HAK0,17
A5I667,44
A5IS17,11
A5ITG9,44
A5LHG2,40
A5LHX3,21
A5N6K1,44
A5UM14,21
A5VKS3,7
A6BM07,7
A6BM28,32
A6BM30,7
A6H4Q8,44
A6H5E4,32
A6H5G7,7
A6L3B5,3
A6LHQ6,3
A6LHQ9,28
A6LQR8,44
A6M934,34
A6M938,39
A6MFK7,1
A6MFK8,1
A6MFK9,17
A6MM16,32
A6MM32,7
A6MMA2,32
A6MMB8,7
A6MMI8,32
A6MMK3,7
A6MMS4,32
A6MMU0,7
A6MVT2,32
A6MWS7,13
A6MWS8,13
A6MWS9,13
A6MWT0,13
A6N6J0,31
A6NCE7,11
A6ND01,2
A6P331,39
A6P3B2,36
A6QG32,11
A6QHI7,44
A6QPN6,11
A6RPU4,11
A6U0U8,11
A6U2B3,44
A6USJ3,21
A6UT20,21
A6VK02,21
A6XN32,33
A6YB85,17
A6YF56,49
A6YR20,12
A6YR21,12
A6YR40,12
A6YR42,12
A6YRN9,7
A6ZL22,2
A6ZQH2,46
A6ZQH4,31
A6ZSH9,2
A6ZY20,2
A6ZZG0,31
A6ZZG1,31
A6ZZH2,7
A7E8H4,11
A7FFL9,3
A7FXU7,44
A7GHK3,44
A7GT16,44
A7GTC2,44
A7I841,21
A7KE01,21
A7KII6,21
A7LAC6,16
A7LAC7,16
A7LCJ2,24
A7LI90,12
A7LI91,11
A7LI92,12
A7M4E1,28
A7M8Y6,32
A7M8Z7,7
A7M962,7
A7RMN1,37
A7SCE5,24
A7SRR3,14
A7ST80,14
A7TLD4,2
A7UDM9,11
A7UKV5,2
A7WNV3,8
A7WNV4,8
A7WNV5,8
A7WNV6,8
A7WNV7,8
A7X149,11
A7X362,44
A7X3S0,49
A7X3S2,49
A7X3V0,49
A7Y395,32
A7Y3C5,7
A7YY44,46
A7Z070,7
A7Z6W8,44
A7Z783,44
A8AA46,21
A8AB58,21
A8AWF9,44
A8B5P0,40
A8B5P7,48
A8B5Q0,40
A8CL69,23
A8D888,11
A8DS38,11
A8DY01,40
A8FFD9,44
A8FFT0,44
A8G2T2,7
A8G5N5,32
A8M8R5,21
A8MBW0,21
A8Q7G1,31
A8QL53,16
A8QL56,16
A8QL57,16
A8S6B3,40
A8SE40,32
A8W3A5,32
A8W3C0,7
A8W3H2,32
A8W3I3,7
A8W7M4,7
A8W7M6,7
A8W7M7,7
A8W7M9,7
A8W7N0,7
A8W7N1,7
A8W7N2,7
A8W7N3,7
A8W7N4,7
A8W7N5,7
A8W7N6,7
A8W7N7,7
A8W7N8,7
A8W7N9,7
A8W7P0,7
A8W7P1,7
A8W7P2,7
A8W7P3,7
A8WTF8,10
A8WU84,22
A8XLL0,23
A8Y7N4,40
A8Y7N7,40
A8Y7N8,40
A8Y7N9,40
A8Y7P5,40
A8Y9F0,32
A8Y9F6,7
A8YPR6,29
A8YPR9,29
A8Z1R1,11
A8Z2H3,44
A9A2U7,21
A9A4A1,21
A9A788,21
A9CM07,46
A9KMF6,44
A9L976,32
A9L992,7
A9LYI1,7
A9P3S1,34
A9R3T6,3
A9UGV5,2
A9UGV6,2
A9UGV7,2
A9UH01,11
A9VHU8,44
A9VIR7,44
A9XDG0,49
A9XDG1,49
A9XDG2,49
A9XDG3,49
A9XFZ7,31
B0BK71,46
B0BK72,31
B0BND0,2
B0C6Z7,7
B0CB14,32
B0CPC6,2
B0FYL5,2
B0I1T2,33
B0JIS8,32
B0JSW8,7
B0K416,44
B0KAC0,44
B0KZ78,12
B0KZ79,12
B0L0Y5,40
B0L0Y6,49
B0R2U4,7
B0R4C8,21
B0TBW5,44
B0VXV8,34
B0XPA1,31
B0XT09,2
B0XT72,2
B0XTU6,2
B0XVI5,2
B0XXF8,2
B0XZV8,2
B0Y1V8,31
B0Y4Z4,31
B0Y665,2
B0Y8H9,2
B0YAH0,31
B0YPN1,32
B0Z4K6,32
B0Z4M1,7
B0Z4U0,32
B0Z4V5,7
B0Z524,32
B0Z539,7
B0Z5A8,32
B0Z5C3,7
B0ZE70,34
B0ZT25,16
B1A915,32
B1A931,7
B1AIJ8,44
B1AVD1,2
B1B213,2
B1B5I9,24
B1B5J0,49
B1B6T1,46
B1IBP4,44
B1ILY6,44
B1IQZ3,3
B1JR58,3
B1KZR4,44
B1L6S7,21
B1NRQ8,34
B1NRQ9,34
B1NRR0,34
B1NRR1,34
B1NRR2,34
B1NRR3,34
B1NWD0,32
B1NWE6,7
B1NWR6,24
B1NWR7,24
B1NWS1,24
B1NWS4,24
B1NWS8,24
B1NWT3,24
B1NWT4,24
B1NWT5,24
B1NWT7,24
B1NWU2,24
B1NWU3,24
B1NWU4,24
B1NWU5,24
B1NWU6,24
B1P1A0,11
B1P1A2,11
B1P1A4,14
B1P1A5,40
B1P1A6,40
B1P1A7,40
B1P1A8,40
B1P1A9,40
B1P1B0,12
B1P1B1,12
B1P1B2,12
B1P1B3,12
B1P1B4,12
B1P1B6,12
B1P1B7,12
B1P1B8,12
B1P1B9,12
B1P1C0,12
B1P1C1,12
B1P1C2,12
B1P1C4,14
B1P1C6,14
B1P1C7,12
B1P1C8,12
B1P1C9,12
B1P1D0,12
B1P1D2,12
B1P1D3,12
B1P1D4,12
B1P1D5,14
B1P1D6,14
B1P1D7,12
B1P1D8,11
B1P1D9,14
B1P1E0,14
B1P1E1,14
B1P1E2,14
B1P1E3,14
B1P1E4,14
B1P1E5,12
B1P1E6,12
B1P1E7,12
B1P1E8,12
B1P1E9,12
B1P1F0,14
B1P1F1,12
B1P1F2,14
B1P1F3,14
B1P1F4,14
B1P1F5,14
B1P1F6,40
B1P1F7,14
B1P1F8,12
B1P1F9,12
B1P1G0,14
B1P1G1,37
B1P1G2,14
B1P1G3,14
B1P1G4,14
B1P1G5,12
B1P1G6,11
B1P1G7,11
B1P1G8,14
B1P1G9,12
B1P1H0,12
B1P1H1,11
B1P1H2,14
B1P1H3,12
B1P1H4,12
B1P1H5,12
B1P1H6,12
B1P1H7,12
B1P1H8,14
B1P1H9,12
B1P1I1,14
B1P1I2,14
B1P1I3,37
B1P1I4,37
B1P1I5,49
B1P1I6,49
B1P1J4,17
B1PZN6,39
B1VAF3,44
B1VKF9,32
B1VKG9,7
B1WUL2,7
B1XF62,3
B1XIP3,32
B1XM24,32
B1XMC3,32
B1XMN4,7
B1YDJ0,21
B1YJS1,44
B2A6B5,44
B2CI27,12
B2CI28,40
B2CJ57,19
B2CJ87,40
B2G856,7
B2GD71,7
B2IQ02,44
B2J4T9,7
B2KAB7,3
B2KJ30,37
B2KKR4,23
B2KKV6,49
B2KKV7,49
B2KKV8,49
B2KKW0,49
B2KPN7,34
B2LMI9,7
B2MW54,24
B2RH54,3
B2RH57,3
B2RH58,46
B2RH59,3
B2RHG1,3
B2RHG3,3
B2RHG4,46
B2TK69,44
B2V0A7,44
B2XWK1,7
B2Y1U6,7
B2Y1W5,7
B2ZB95,26
B2ZB96,26
B2ZB98,26
B2ZB99,26
B2ZBA0,26
B2ZBA1,26
B2ZBB6,49
B2ZBB8,49
B2ZBB9,49
B2ZBC0,49
B2ZG38,24
B3A0N7,7
B3EWF2,14
B3EWF3,14
B3EWF4,14
B3EWF5,49
B3EWF6,14
B3EWG0,18
B3EWH5,7
B3EWH6,40
B3EWL1,11
B3EWL9,11
B3EWM1,40
B3EWM3,40
B3EWR6,34
B3EWS5,34
B3EWS6,34
B3EWS7,7
B3EWS8,7
B3EWS9,7
B3EWT0,49
B3EWX6,34
B3EWY4,40
B3F0J0,34
B3FIA5,13
B3FIA6,24
B3FIN4,14
B3FIQ7,37
B3FIS0,14
B3FIS1,14
B3FIS2,14
B3FIS3,14
B3FIS4,14
B3FIS5,14
B3FIS6,14
B3FIS7,14
B3FIU2,12
B3FIV1,37
B3GS44,2
B3H587,40
B3H5A9,28
B3H5J1,11
B3H5Q2,11
B3H7I1,40
B3IUD8,22
B3IUE0,22
B3IWF7,22
B3IWF8,22
B3IWF9,22
B3KYH4,13
B3KYH5,13
B3KYH6,13
B3LPD6,2
B3LPW3,46
B3LQU0,31
B3LQU1,31
B3LVG7,34
B3MFC2,33
B3NSF6,33
B3QZT2,44
B3SP85,11
B3SVF0,11
B3SVF1,11
B3TNB9,7
B3V0K8,40
B3VZU0,8
B3VZU1,8
B3VZU2,8
B3VZU3,8
B3VZU4,8
B3VZU5,8
B3VZU6,8
B4GAN3,33
B4HNI3,33
B4J8Z9,33
B4KR21,33
B4LQ44,33
B4MQJ1,33
B4P641,33
B4QBL6,33
B4THR7,3
B4YSU8,12
B5A5T4,33
B5A9S9,8
B5A9T0,48
B5A9T1,48
B5E022,33
B5E4L9,44
B5G6G5,1
B5IEE5,21
B5LMM0,7
B5LUQ3,13
B5LUQ4,25
B5LUQ5,25
B5LUQ6,13
B5LUQ7,19
B5LUQ8,19
B5LUQ9,10
B5LUR0,19
B5LUR1,10
B5MFD0,7
B5SY89,2
B5VE42,2
B5VL25,46
B5VL27,31
B5ZB18,44
B6CPR5,48
B6D434,11
B6DCJ0,49
B6DCJ1,49
B6DCJ3,49
B6DCJ4,49
B6DCJ5,49
B6DCJ6,49
B6DCJ7,49
B6DCJ9,49
B6DCK0,49
B6DCK1,49
B6DCK2,49
B6DCK3,49
B6DCK4,49
B6DCK5,49
B6DCK6,49
B6DCK8,49
B6DCK9,49
B6DCL0,49
B6DCL1,49
B6DCL2,49
B6DCL3,49
B6DCL4,49
B6DCL5,49
B6DCL6,49
B6DCL7,49
B6DCL8,49
B6DCL9,49
B6DCM0,49
B6DCM1,49
B6DCM2,49
B6DCM3,49
B6DCM4,49
B6DCM5,49
B6DCM6,49
B6DCM7,49
B6DCM8,49
B6DCM9,49
B6DCN0,49
B6DCN1,49
B6DCN2,49
B6DCN3,49
B6DCN4,49
B6DCN5,49
B6DCN6,49
B6DCN7,49
B6DCN8,49
B6DCN9,49
B6DCP0,49
B6DCP1,49
B6DCP2,49
B6DCP3,49
B6DCP4,49
B6DCP5,49
B6DCP6,49
B6DCP7,49
B6DCQ0,49
B6DCQ1,49
B6DCQ2,49
B6DCQ3,49
B6DCQ4,49
B6DCQ5,49
B6DCQ6,49
B6DCQ7,49
B6DCQ8,49
B6DCQ9,49
B6DCR0,49
B6DCR1,49
B6DCR2,49
B6DCR3,49
B6DCR4,49
B6DCR5,49
B6DCR6,49
B6DCR7,49
B6DCR8,49
B6DCR9,49
B6DCS0,49
B6DCS1,49
B6DCS2,49
B6DCS3,49
B6DCS4,49
B6DCS5,49
B6DCS6,49
B6DCS7,49
B6DCS8,49
B6DCS9,49
B6DCT0,49
B6DCT1,49
B6DCT2,49
B6DCT3,46
B6DCT4,46
B6DCT5,46
B6DCT6,46
B6DCT7,46
B6DCT8,46
B6DCU0,46
B6DCU1,46
B6DCU2,49
B6DCU3,49
B6DCU4,49
B6DCU5,49
B6DCU6,49
B6DCU7,49
B6DCU8,49
B6DCU9,49
B6DCV0,49
B6DCX2,14
B6DCX4,14
B6DCX5,14
B6DCX6,14
B6DCX7,14
B6DCX8,14
B6DCX9,14
B6DCY0,14
B6DCY2,14
B6DCY3,14
B6DCY4,14
B6DCY5,14
B6DCY6,14
B6DCY7,14
B6DCY8,14
B6DCY9,14
B6DCZ0,14
B6DCZ1,14
B6DCZ2,14
B6DCZ3,14
B6DCZ4,14
B6DCZ5,14
B6DCZ6,14
B6DCZ7,14
B6DCZ8,14
B6DCZ9,14
B6DD00,14
B6DD01,14
B6DD02,14
B6DD03,14
B6DD04,14
B6DD05,14
B6DD06,14
B6DD07,14
B6DD08,14
B6DD09,14
B6DD10,14
B6DD11,14
B6DD12,14
B6DD13,14
B6DD14,14
B6DD15,14
B6DD16,14
B6DD17,14
B6DD18,14
B6DD19,14
B6DD20,14
B6DD21,14
B6DD22,14
B6DD23,14
B6DD24,14
B6DD25,14
B6DD26,14
B6DD27,14
B6DD28,14
B6DD29,49
B6DD30,49
B6DD31,49
B6DD32,49
B6DD33,49
B6DD52,14
B6DD53,14
B6DD54,14
B6DD55,14
B6DD56,14
B6DD57,14
B6DD58,14
B6DD59,14
B6DT16,13
B6E465,36
B6EWW8,2
B6GXZ8,31
B6HY14,8
B6HY15,8
B6HY16,8
B6IB31,3
B6K9M7,46
B6KAM0,46
B6S2X0,11
B6S2X2,11
B6ULW4,34
B6ULW5,34
B6ULW6,34
B6ULW7,34
B6V6L0,40
B6V867,2
B6YSW2,21
B6YXV3,21
B7G6D3,7
B7GIR0,44
B7HCU7,44
B7HE75,44
B7HPM0,44
B7HQK0,44
B7IIV4,44
B7IYH4,44
B7JNV3,44
B7JQ28,44
B7JVQ3,7
B7K989,7
B7L5E9,3
B7LZY9,3
B7M9V0,3
B7MV44,3
B7NB47,3
B7NUP2,3
B7URT6,3
B7XFT1,1
B8D673,21
B8D683,21
B8DHK8,44
B8FUS1,44
B8GG66,21
B8H8L6,21
B8HTR1,7
B8I178,44
B8JLQ9,2
B8K1V9,17
B8MF81,31
B8N7S7,2
B8N7Z8,31
B8N8M2,31
B8NCQ5,27
B8NM66,19
B8QG00,12
B8XH22,12
B8XH33,11
B8XH40,46
B8XH46,11
B8XH50,35
B8ZPV1,44
B9DNE8,44
B9DU56,44
B9E020,44
B9ENM6,11
B9IY88,44
B9IZ18,44
B9LTS6,21
B9MRB7,44
B9TQX1,49
B9TQX2,49
B9TQX3,49
B9TQX4,46
B9U443,31
B9UIY3,35
B9W4V6,31
C0H690,24
C0H691,24
C0H692,24
C0H693,24
C0H694,24
C0HJF6,40
C0HJI1,0
C0HJI2,0
C0HJI3,0
C0HJI4,0
C0HJI5,0
C0HJI6,0
C0HJI7,11
C0HJI8,0
C0HJK0,11
C0HJK2,11
C0HJK4,40
C0HJQ3,47
C0HJT9,0
C0HJU0,0
C0HJV6,25
C0HJV7,49
C0HJV8,49
C0HJZ6,8
C0HJZ7,8
C0HJZ8,8
C0HJZ9,8
C0HK00,8
C0HK01,8
C0HK02,8
C0HK03,8
C0HK26,24
C0HK27,28
C0HK57,44
C0HK89,7
C0HKA2,16
C0HKA3,16
C0HKA4,16
C0HKA5,16
C0HKA6,16
C0HKA8,44
C0HKA9,44
C0HKF6,13
C0HKF7,16
C0HKF8,16
C0HKG0,49
C0HKG1,49
C0HKG7,49
C0HKG8,49
C0HKG9,49
C0HKR1,18
C0HKR2,10
C0HKS0,26
C0HKS1,23
C0HKS3,0
C0HKS4,0
C0HKS5,0
C0HKS6,23
C0HKT1,23
C0HKT2,18
C0HKT3,11
C0HKT4,22
C0HKT5,22
C0HKT6,23
C0HKU0,18
C0HKU1,40
C0HKU2,23
C0HKU9,6
C0HKV8,18
C0HKV9,23
C0HKW2,23
C0HKW7,6
C0HKX3,11
C0HKX4,11
C0HKX8,40
C0HKY0,40
C0HKY1,6
C0HKY6,44
C0HL17,23
C0HL58,35
C0HL59,11
C0HL91,18
C0HL92,18
C0HLG4,46
C0HLM6,28
C0HLS4,24
C0HLZ9,28
C0HM00,28
C0HM54,41
C0HM68,24
C0HMD4,7
C0K3N1,40
C0KYC3,24
C0KYC4,24
C0KYC5,39
C0KYC6,13
C0L2T8,11
C0LRA7,31
C0M7I0,44
C0ME76,44
C0P381,11
C0XTM5,7
C1BJ98,11
C1C7A1,44
C1CE94,44
C1CKH0,44
C1CRK7,44
C1ESL5,44
C1ETN9,44
C1FVW6,44
C1IBZ3,40
C1IC04,34
C1J5M5,13
C1J5M6,13
C1J5M7,13
C1JAR9,3
C1KIY9,24
C1KVI7,44
C3L3J4,44
C3L5S4,44
C3L6X4,44
C3MQ16,21
C3MRE5,21
C3MVD5,21
C3MY41,21
C3MZI0,21
C3N5N4,21
C3N7K2,21
C3NE98,21
C3NFX2,21
C3NHF1,21
C3P8M7,44
C3P9C8,44
C3RT17,8
C3RT18,8
C3RT22,8
C3RT23,8
C3RT24,24
C3TS04,24
C3TS06,24
C3TS07,24
C3TS08,24
C3TS10,24
C3VVN5,46
C3VVN6,46
C3Z6E6,22
C4B4E4,11
C4KHB0,21
C4KIR0,21
C4L4N3,44
C4N9P6,13
C4PRC1,46
C4PWC3,46
C4PWC4,46
C4YHA6,2
C4YMJ3,31
C4YNQ5,31
C4YSF6,31
C4Z9Z8,44
C4ZY59,3
C5A2D5,21
C5A7L1,21
C5BVA2,21
C5D4U8,44
C5D5G7,44
C5FBS2,31
C5FEK4,2
C5FGX1,2
C5FRQ0,2
C5FW30,2
C5H0C7,25
C5H0C8,25
C5H0D4,25
C5H0D5,25
